Type,Time (s),Beat,Confidence
DROP,370.7,760,57.3%
TRANSITION,371.1,761,84.1%
TRANSITION,375.5,770,100.0%
DROP,375.9,771,68.8%
BREAKDOWN,376.3,772,65.9%
TRANSITION,379.8,779,72.1%
DROP,381.2,782,58.8%
TRANSITION,384.1,788,100.0%
BREAKDOWN,384.7,789,100.0%
DROP,386.5,793,82.9%
TRANSITION,388.4,797,76.9%
DROP,391.8,803,55.8%
TRANSITION,392.7,805,84.9%
BREAKDOWN,392.8,806,100.0%
DROP,397.1,814,68.2%
TRANSITION,397.1,814,53.9%
BREAKDOWN,401.0,822,100.0%
TRANSITION,401.4,823,78.4%
DROP,402.3,825,68.8%
TRANSITION,405.7,832,56.4%
DROP,407.6,836,73.6%
BREAKDOWN,409.1,839,100.0%
TRANSITION,410.0,841,50.8%
DROP,412.9,847,61.8%
TRANSITION,414.4,850,100.0%
BREAKDOWN,417.3,856,100.0%
DROP,418.2,858,64.8%
TRANSITION,418.7,859,100.0%
TRANSITION,423.0,867,100.0%
DROP,423.4,868,100.0%
BREAKDOWN,425.5,873,100.0%
TRANSITION,427.3,876,100.0%
DROP,428.7,879,100.0%
