Type,Time (s),Beat,Confidence
DROP,0.1,0,100.0%
TRANSITION,0.1,0,100.0%
BREAKDOWN,0.2,0,100.0%
TRANSITION,4.4,9,100.0%
DROP,5.4,11,89.7%
BREAKDOWN,8.3,17,100.0%
TRANSITION,8.8,18,100.0%
DROP,10.6,22,75.2%
TRANSITION,13.1,27,100.0%
DROP,15.9,33,100.0%
BREAKDOWN,16.5,34,100.0%
TRANSITION,17.4,36,100.0%
DROP,21.2,43,100.0%
TRANSITION,21.7,45,100.0%
BREAKDOWN,24.7,51,100.0%
TRANSITION,26.0,53,100.0%
DROP,26.5,54,100.0%
TRANSITION,30.3,62,100.0%
DROP,31.8,65,100.0%
BREAKDOWN,32.8,67,56.4%
TRANSITION,34.7,71,100.0%
DROP,37.0,76,79.7%
TRANSITION,39.0,80,100.0%
BREAKDOWN,41.0,84,100.0%
DROP,42.3,87,100.0%
TRANSITION,43.3,89,100.0%
DROP,47.6,98,75.5%
TRANSITION,47.6,98,94.7%
BREAKDOWN,49.1,101,100.0%
TRANSITION,51.9,107,97.5%
DROP,52.9,108,100.0%
TRANSITION,56.3,115,90.1%
BREAKDOWN,57.3,118,100.0%
DROP,58.2,119,100.0%
TRANSITION,60.6,124,76.7%
BREAKDOWN,65.4,134,64.5%
BREAKDOWN,73.9,151,83.6%
DROP,76.9,158,69.2%
TRANSITION,76.9,158,100.0%
TRANSITION,81.2,167,75.3%
BREAKDOWN,82.0,168,53.9%
DROP,82.2,169,85.3%
TRANSITION,85.5,175,100.0%
DROP,87.4,179,55.8%
TRANSITION,89.9,184,51.9%
BREAKDOWN,90.2,185,72.1%
DROP,92.7,190,89.8%
TRANSITION,94.2,193,78.8%
DROP,98.0,201,68.5%
BREAKDOWN,98.3,202,60.0%
TRANSITION,98.5,202,53.7%
TRANSITION,102.8,211,50.5%
DROP,103.3,212,68.1%
BREAKDOWN,106.5,218,86.1%
TRANSITION,107.2,220,100.0%
DROP,108.6,223,63.2%
TRANSITION,111.5,229,100.0%
DROP,113.8,233,73.0%
BREAKDOWN,114.7,235,66.0%
TRANSITION,115.8,237,100.0%
DROP,119.1,244,56.7%
TRANSITION,120.1,246,100.0%
BREAKDOWN,122.8,252,61.5%
DROP,124.4,255,83.1%
TRANSITION,124.4,255,100.0%
TRANSITION,128.8,264,100.0%
DROP,129.7,266,57.3%
BREAKDOWN,131.0,269,66.4%
TRANSITION,133.1,273,100.0%
DROP,135.0,277,81.9%
TRANSITION,137.4,282,100.0%
BREAKDOWN,139.1,285,71.3%
DROP,141.0,289,51.2%
DROP,146.7,301,50.2%
BREAKDOWN,147.3,302,76.4%
DROP,153.7,315,100.0%
TRANSITION,153.7,315,100.0%
BREAKDOWN,155.5,319,78.4%
TRANSITION,158.0,324,100.0%
DROP,159.0,326,62.9%
TRANSITION,162.4,333,100.0%
BREAKDOWN,163.6,336,57.9%
DROP,164.3,337,50.6%
TRANSITION,166.4,341,51.0%
DROP,169.5,348,64.4%
TRANSITION,170.5,350,66.5%
BREAKDOWN,171.8,352,100.0%
TRANSITION,174.6,358,50.4%
DROP,174.8,359,57.2%
TRANSITION,178.7,366,100.0%
BREAKDOWN,180.0,369,76.4%
DROP,180.1,369,78.2%
TRANSITION,183.0,375,100.0%
DROP,186.6,383,67.9%
TRANSITION,187.1,384,62.4%
BREAKDOWN,188.3,386,56.0%
DROP,192.3,394,74.1%
TRANSITION,192.4,394,63.5%
BREAKDOWN,196.3,403,97.2%
TRANSITION,196.7,403,59.0%
DROP,198.1,406,64.8%
TRANSITION,201.2,413,63.6%
DROP,203.8,418,72.3%
BREAKDOWN,204.4,419,88.4%
TRANSITION,205.8,422,54.5%
DROP,209.6,430,60.0%
TRANSITION,210.1,431,52.4%
BREAKDOWN,212.8,436,100.0%
TRANSITION,214.6,440,71.9%
DROP,215.1,441,100.0%
TRANSITION,219.0,449,100.0%
DROP,220.4,452,61.2%
BREAKDOWN,221.0,453,100.0%
TRANSITION,223.1,457,51.4%
DROP,225.7,463,53.8%
TRANSITION,227.2,466,100.0%
BREAKDOWN,229.1,470,100.0%
DROP,231.0,474,65.1%
TRANSITION,231.5,475,100.0%
TRANSITION,235.8,484,100.0%
DROP,236.3,485,57.2%
BREAKDOWN,237.3,487,100.0%
TRANSITION,240.1,492,100.0%
DROP,241.5,495,79.2%
TRANSITION,244.2,501,50.0%
BREAKDOWN,245.5,503,81.7%
DROP,246.8,506,50.2%
TRANSITION,248.3,509,87.4%
DROP,252.1,517,83.1%
TRANSITION,252.4,518,64.9%
BREAKDOWN,253.6,520,76.4%
TRANSITION,256.4,526,100.0%
DROP,257.4,528,55.8%
TRANSITION,260.8,535,100.0%
BREAKDOWN,261.8,537,100.0%
DROP,262.7,539,65.7%
TRANSITION,265.1,544,100.0%
DROP,267.9,549,62.4%
TRANSITION,269.2,552,56.5%
BREAKDOWN,269.9,554,100.0%
DROP,273.2,560,70.8%
TRANSITION,273.2,560,92.0%
TRANSITION,277.3,569,63.4%
BREAKDOWN,278.0,570,72.4%
DROP,278.7,572,73.3%
TRANSITION,281.8,578,62.4%
DROP,284.5,583,79.7%
BREAKDOWN,286.2,587,50.7%
TRANSITION,286.4,587,59.5%
DROP,290.2,595,72.5%
TRANSITION,290.8,596,67.2%
BREAKDOWN,294.2,603,56.0%
TRANSITION,295.3,606,52.3%
DROP,296.0,607,74.0%
TRANSITION,299.9,615,51.3%
DROP,301.8,619,63.5%
BREAKDOWN,302.3,620,76.8%
TRANSITION,304.9,625,60.7%
DROP,307.3,630,100.0%
TRANSITION,309.2,634,55.6%
BREAKDOWN,310.5,637,58.2%
DROP,312.6,641,59.4%
TRANSITION,313.5,643,55.3%
TRANSITION,317.6,651,52.7%
DROP,317.9,652,53.5%
BREAKDOWN,318.7,654,70.7%
TRANSITION,321.7,660,100.0%
DROP,323.1,663,62.1%
TRANSITION,325.8,668,54.0%
BREAKDOWN,327.1,671,100.0%
DROP,328.4,674,56.7%
TRANSITION,329.9,676,60.2%
DROP,333.7,684,78.3%
TRANSITION,334.2,685,73.4%
BREAKDOWN,335.2,687,100.0%
TRANSITION,338.3,694,51.4%
DROP,339.0,695,50.2%
TRANSITION,342.4,702,100.0%
BREAKDOWN,343.4,704,100.0%
DROP,344.3,706,81.0%
TRANSITION,346.4,710,53.7%
DROP,349.5,717,56.0%
TRANSITION,350.5,719,100.0%
BREAKDOWN,351.5,721,58.5%
TRANSITION,354.6,727,50.8%
DROP,354.8,728,62.3%
TRANSITION,358.7,736,100.0%
BREAKDOWN,359.7,738,100.0%
DROP,360.1,738,63.1%
TRANSITION,363.0,744,100.0%
DROP,365.4,749,65.5%
TRANSITION,367.1,753,55.0%
BREAKDOWN,368.1,755,69.5%
