Type,Time (s),Beat,Confidence
DROP,15.0,32,51.4%
DROP,22.3,48,54.5%
BREAKDOWN,22.5,48,52.9%
DROP,31.3,67,52.3%
DROP,38.7,83,50.6%
DROP,44.7,96,52.8%
TRANSITION,44.7,96,54.0%
BREAKDOWN,44.8,96,100.0%
TRANSITION,48.9,105,62.4%
DROP,50.3,108,55.3%
TRANSITION,53.1,114,64.5%
BREAKDOWN,53.1,114,100.0%
DROP,55.3,119,100.0%
TRANSITION,59.0,127,66.5%
DROP,60.4,130,78.1%
BREAKDOWN,61.1,132,51.8%
TRANSITION,63.2,136,63.3%
DROP,65.5,141,78.7%
TRANSITION,67.4,145,67.1%
BREAKDOWN,69.4,150,50.7%
DROP,70.6,152,86.3%
TRANSITION,71.5,154,78.9%
DROP,75.7,163,96.3%
TRANSITION,75.7,163,87.6%
BREAKDOWN,77.6,167,56.3%
TRANSITION,79.8,172,88.0%
DROP,80.7,174,52.9%
TRANSITION,84.0,181,87.5%
DROP,85.8,185,71.7%
BREAKDOWN,86.0,185,82.2%
TRANSITION,88.1,190,78.1%
DROP,90.9,196,58.7%
TRANSITION,93.2,201,51.6%
BREAKDOWN,94.2,203,100.0%
DROP,95.9,207,70.1%
TRANSITION,97.4,210,53.8%
DROP,101.0,218,69.5%
TRANSITION,101.5,219,62.9%
BREAKDOWN,102.5,221,100.0%
TRANSITION,105.7,228,54.8%
DROP,106.1,228,81.3%
TRANSITION,109.8,236,55.3%
BREAKDOWN,110.8,239,50.3%
DROP,111.2,239,64.1%
TRANSITION,115.4,248,51.2%
DROP,116.7,251,65.4%
BREAKDOWN,118.8,256,54.1%
TRANSITION,119.5,257,66.7%
DROP,121.8,262,59.2%
TRANSITION,123.7,266,63.9%
DROP,126.9,273,90.5%
BREAKDOWN,127.4,274,72.4%
TRANSITION,127.8,275,66.9%
DROP,132.0,284,83.1%
TRANSITION,132.0,284,61.9%
BREAKDOWN,135.4,292,59.1%
TRANSITION,136.1,293,68.0%
DROP,137.0,295,68.5%
TRANSITION,140.3,302,92.3%
DROP,142.1,306,74.9%
BREAKDOWN,143.6,309,57.6%
TRANSITION,144.5,311,69.4%
DROP,147.2,317,93.2%
TRANSITION,149.6,322,57.6%
BREAKDOWN,151.9,327,91.3%
DROP,152.3,328,53.1%
TRANSITION,154.1,332,65.9%
DROP,157.3,339,94.6%
TRANSITION,158.3,341,61.8%
BREAKDOWN,160.2,345,95.3%
DROP,162.4,350,82.4%
TRANSITION,162.4,350,57.8%
DROP,167.5,361,86.5%
TRANSITION,167.5,361,50.2%
BREAKDOWN,168.5,363,100.0%
TRANSITION,171.7,370,58.2%
DROP,172.6,372,95.0%
TRANSITION,175.9,379,51.6%
BREAKDOWN,176.8,381,100.0%
DROP,177.7,383,86.1%
TRANSITION,180.0,388,75.4%
DROP,182.7,393,61.4%
TRANSITION,184.1,396,83.1%
BREAKDOWN,185.2,399,79.7%
DROP,187.8,404,100.0%
TRANSITION,188.3,405,96.0%
TRANSITION,192.4,414,84.0%
DROP,192.9,415,76.3%
BREAKDOWN,193.5,417,87.9%
TRANSITION,196.6,423,88.0%
DROP,198.0,426,63.3%
TRANSITION,200.8,432,82.6%
BREAKDOWN,201.9,435,64.1%
DROP,203.0,437,100.0%
TRANSITION,204.9,441,57.3%
DROP,208.1,448,65.6%
TRANSITION,209.0,450,57.2%
BREAKDOWN,210.0,452,94.6%
DROP,213.2,459,69.7%
TRANSITION,213.2,459,56.4%
TRANSITION,217.4,468,69.9%
BREAKDOWN,218.1,470,61.7%
DROP,218.3,470,74.6%
TRANSITION,221.5,477,63.5%
DROP,223.8,482,72.5%
TRANSITION,225.7,486,71.6%
BREAKDOWN,226.3,487,57.4%
DROP,228.9,493,100.0%
TRANSITION,229.8,495,69.8%
DROP,234.0,504,78.6%
TRANSITION,234.0,504,73.8%
BREAKDOWN,234.5,505,63.9%
TRANSITION,238.1,513,77.2%
DROP,239.0,515,71.2%
TRANSITION,242.3,522,64.8%
BREAKDOWN,242.5,522,61.7%
DROP,244.1,526,99.3%
TRANSITION,246.5,531,58.0%
DROP,249.2,537,79.2%
TRANSITION,250.6,540,68.0%
BREAKDOWN,250.7,540,63.4%
DROP,254.3,548,95.4%
TRANSITION,254.7,549,66.1%
TRANSITION,258.9,558,66.3%
BREAKDOWN,259.0,558,100.0%
DROP,259.3,558,92.8%
TRANSITION,263.1,566,62.4%
DROP,264.4,569,60.1%
TRANSITION,267.2,575,57.9%
BREAKDOWN,267.3,576,100.0%
DROP,269.5,580,100.0%
TRANSITION,271.4,584,52.9%
DROP,274.6,591,77.9%
BREAKDOWN,275.6,593,98.5%
TRANSITION,276.9,596,60.9%
DROP,280.1,603,58.9%
TRANSITION,281.1,605,74.2%
BREAKDOWN,283.6,611,65.7%
DROP,285.2,614,100.0%
TRANSITION,285.2,614,82.7%
TRANSITION,289.4,623,79.1%
DROP,290.3,625,81.3%
BREAKDOWN,291.7,628,95.4%
TRANSITION,293.5,632,84.8%
DROP,295.3,636,100.0%
TRANSITION,297.7,641,84.2%
BREAKDOWN,300.1,646,61.1%
DROP,300.4,647,100.0%
TRANSITION,301.8,650,77.3%
DROP,305.9,659,64.7%
TRANSITION,306.0,659,72.8%
BREAKDOWN,308.4,664,100.0%
TRANSITION,310.1,668,70.7%
DROP,311.0,670,86.9%
TRANSITION,314.7,678,54.0%
DROP,316.1,681,58.2%
BREAKDOWN,316.7,682,100.0%
TRANSITION,318.9,687,63.9%
DROP,321.2,692,81.1%
TRANSITION,324.9,700,53.5%
BREAKDOWN,325.0,700,98.8%
DROP,326.3,703,65.8%
TRANSITION,329.0,709,50.9%
DROP,331.3,713,53.9%
TRANSITION,333.2,718,61.9%
BREAKDOWN,333.3,718,100.0%
DROP,336.4,724,66.8%
TRANSITION,337.4,727,51.1%
BREAKDOWN,341.3,735,51.7%
DROP,341.5,735,96.0%
TRANSITION,341.5,735,86.3%
TRANSITION,345.7,744,68.5%
DROP,346.6,746,54.2%
BREAKDOWN,349.4,752,100.0%
TRANSITION,349.8,753,91.9%
DROP,351.6,757,86.9%
TRANSITION,354.0,762,81.5%
DROP,356.7,768,71.2%
BREAKDOWN,357.7,770,100.0%
TRANSITION,358.1,771,52.5%
DROP,361.8,779,78.5%
TRANSITION,362.3,780,51.5%
BREAKDOWN,366.1,788,61.2%
TRANSITION,366.4,789,63.6%
DROP,366.9,790,70.7%
TRANSITION,370.6,798,82.2%
DROP,372.0,801,100.0%
BREAKDOWN,374.4,806,89.5%
TRANSITION,374.7,807,90.0%
