Type,Time (s),Beat,Confidence
DROP,0.4,1,100.0%
TRANSITION,0.4,1,83.7%
BREAKDOWN,0.5,1,100.0%
TRANSITION,4.7,10,71.8%
DROP,5.6,12,57.5%
BREAKDOWN,8.6,18,67.5%
TRANSITION,9.0,18,65.5%
DROP,11.4,23,87.7%
TRANSITION,13.3,27,88.8%
BREAKDOWN,16.7,34,100.0%
DROP,17.1,35,92.1%
TRANSITION,17.6,36,72.9%
TRANSITION,21.8,45,82.1%
DROP,22.8,47,100.0%
BREAKDOWN,24.8,51,73.7%
TRANSITION,26.1,54,93.7%
DROP,28.5,58,100.0%
TRANSITION,30.4,62,100.0%
BREAKDOWN,32.9,67,70.8%
DROP,33.7,69,51.8%
TRANSITION,34.7,71,77.0%
DROP,39.0,80,72.3%
TRANSITION,39.0,80,76.6%
BREAKDOWN,41.0,84,100.0%
TRANSITION,43.3,89,51.2%
DROP,44.2,91,81.2%
TRANSITION,47.6,98,96.3%
BREAKDOWN,49.0,101,65.9%
DROP,49.4,101,100.0%
TRANSITION,51.9,106,83.7%
DROP,54.7,112,65.1%
TRANSITION,56.1,115,67.0%
BREAKDOWN,57.1,117,100.0%
DROP,59.9,123,58.9%
TRANSITION,60.4,124,75.9%
TRANSITION,64.7,133,70.8%
DROP,65.2,134,100.0%
BREAKDOWN,65.2,134,100.0%
TRANSITION,69.0,141,86.1%
DROP,70.4,144,92.0%
TRANSITION,73.3,150,75.2%
BREAKDOWN,73.3,150,100.0%
DROP,76.1,156,89.0%
TRANSITION,77.6,159,54.5%
BREAKDOWN,81.4,167,100.0%
DROP,81.8,168,72.5%
TRANSITION,81.9,168,100.0%
TRANSITION,86.1,177,69.2%
DROP,87.5,179,56.0%
BREAKDOWN,89.5,184,84.7%
TRANSITION,90.4,185,83.7%
DROP,93.3,191,100.0%
TRANSITION,94.7,194,84.3%
BREAKDOWN,97.6,200,60.6%
DROP,98.5,202,58.4%
TRANSITION,99.0,203,100.0%
TRANSITION,103.3,212,81.7%
DROP,103.7,213,66.7%
BREAKDOWN,105.7,217,100.0%
TRANSITION,107.6,221,63.5%
DROP,109.0,223,100.0%
TRANSITION,111.9,229,90.6%
BREAKDOWN,113.8,233,63.9%
DROP,114.2,234,100.0%
TRANSITION,116.1,238,89.5%
DROP,119.4,245,59.3%
TRANSITION,120.4,247,86.3%
BREAKDOWN,121.9,250,100.0%
DROP,124.7,256,75.8%
TRANSITION,124.7,256,70.3%
TRANSITION,129.0,265,67.0%
DROP,129.9,266,100.0%
BREAKDOWN,130.0,267,100.0%
TRANSITION,133.3,273,56.9%
DROP,135.1,277,94.1%
TRANSITION,137.6,282,87.9%
BREAKDOWN,138.1,283,93.0%
DROP,140.9,289,80.9%
TRANSITION,141.9,291,80.5%
TRANSITION,146.1,300,60.0%
BREAKDOWN,146.2,300,100.0%
DROP,146.6,301,54.9%
TRANSITION,150.4,308,100.0%
DROP,152.3,312,55.1%
BREAKDOWN,154.3,316,86.5%
TRANSITION,154.7,317,58.0%
DROP,157.5,323,56.9%
TRANSITION,159.0,326,78.1%
BREAKDOWN,162.4,333,100.0%
DROP,166.3,341,52.1%
BREAKDOWN,170.5,350,78.2%
DROP,172.1,353,50.3%
TRANSITION,173.8,356,86.4%
DROP,177.5,364,80.9%
TRANSITION,177.8,365,70.6%
BREAKDOWN,178.6,366,59.0%
TRANSITION,181.9,373,75.0%
DROP,182.8,375,72.7%
TRANSITION,186.1,382,100.0%
BREAKDOWN,186.7,383,100.0%
DROP,188.0,386,100.0%
TRANSITION,190.8,391,54.1%
DROP,193.2,396,63.4%
BREAKDOWN,194.8,399,100.0%
TRANSITION,194.9,400,83.4%
DROP,198.5,407,74.8%
TRANSITION,199.0,408,84.3%
BREAKDOWN,202.9,416,100.0%
TRANSITION,203.3,417,80.7%
DROP,203.7,418,88.1%
TRANSITION,207.4,425,56.2%
DROP,209.0,429,71.3%
BREAKDOWN,211.0,433,100.0%
TRANSITION,211.4,433,94.6%
DROP,214.2,439,100.0%
TRANSITION,215.7,442,74.2%
BREAKDOWN,219.0,449,58.7%
DROP,219.7,450,95.1%
TRANSITION,220.9,453,82.0%
DROP,224.7,461,100.0%
TRANSITION,224.9,461,62.0%
BREAKDOWN,227.2,466,100.0%
TRANSITION,229.0,470,81.7%
DROP,229.9,472,99.4%
TRANSITION,233.0,478,78.7%
DROP,235.1,482,100.0%
BREAKDOWN,235.2,482,100.0%
TRANSITION,237.1,486,100.0%
DROP,240.4,493,98.5%
TRANSITION,241.4,495,100.0%
BREAKDOWN,243.3,499,65.6%
TRANSITION,245.4,503,93.9%
DROP,245.4,503,53.7%
TRANSITION,249.5,512,77.6%
DROP,250.9,514,100.0%
BREAKDOWN,251.4,516,100.0%
TRANSITION,253.7,520,99.9%
DROP,255.9,525,62.6%
TRANSITION,257.8,529,80.5%
BREAKDOWN,259.5,532,100.0%
DROP,261.3,536,82.6%
