Type,Time (s),Beat,Confidence
DROP,15.2,33,100.0%
TRANSITION,15.2,33,100.0%
BREAKDOWN,15.3,33,53.1%
TRANSITION,19.5,42,100.0%
DROP,20.4,44,100.0%
BREAKDOWN,23.3,50,100.0%
TRANSITION,23.7,51,66.1%
DROP,25.5,55,100.0%
TRANSITION,27.9,60,100.0%
DROP,30.7,66,95.1%
BREAKDOWN,31.7,68,90.3%
TRANSITION,32.1,69,100.0%
DROP,35.8,77,100.0%
TRANSITION,36.3,78,58.5%
BREAKDOWN,39.7,86,100.0%
TRANSITION,40.5,87,100.0%
DROP,41.0,88,100.0%
TRANSITION,44.8,96,100.0%
DROP,49.4,106,80.1%
TRANSITION,49.5,106,62.6%
BREAKDOWN,49.5,107,73.8%
DROP,56.5,122,61.2%
TRANSITION,57.0,123,62.2%
BREAKDOWN,60.3,130,95.3%
DROP,64.4,139,76.9%
TRANSITION,64.5,139,62.8%
DROP,71.5,154,53.6%
TRANSITION,72.0,155,61.8%
BREAKDOWN,72.0,155,77.4%
DROP,79.4,171,70.9%
TRANSITION,79.5,171,62.1%
BREAKDOWN,83.3,179,50.6%
DROP,86.5,186,67.9%
TRANSITION,87.0,187,61.1%
BREAKDOWN,91.3,197,59.3%
DROP,92.1,198,57.2%
TRANSITION,92.2,198,52.9%
TRANSITION,96.9,209,53.4%
DROP,97.7,210,73.2%
BREAKDOWN,99.8,215,52.2%
TRANSITION,101.5,219,68.8%
DROP,105.2,227,100.0%
TRANSITION,105.7,228,75.5%
BREAKDOWN,108.1,233,64.3%
TRANSITION,109.9,237,100.0%
DROP,110.8,239,100.0%
TRANSITION,114.1,246,100.0%
BREAKDOWN,116.1,250,78.0%
DROP,116.4,251,61.6%
TRANSITION,118.4,255,79.4%
DROP,121.6,262,62.7%
TRANSITION,122.6,264,100.0%
BREAKDOWN,124.5,268,100.0%
DROP,126.8,273,100.0%
TRANSITION,126.8,273,100.0%
TRANSITION,131.0,282,58.5%
DROP,131.9,284,64.6%
BREAKDOWN,133.0,286,63.6%
TRANSITION,135.3,291,66.9%
DROP,137.1,295,56.4%
TRANSITION,139.5,300,58.9%
BREAKDOWN,141.0,304,58.7%
DROP,142.7,307,62.2%
TRANSITION,144.7,312,53.0%
TRANSITION,149.4,322,53.3%
BREAKDOWN,149.4,322,53.4%
DROP,150.2,323,100.0%
TRANSITION,153.5,331,77.0%
DROP,155.4,335,94.0%
TRANSITION,157.7,340,100.0%
BREAKDOWN,157.8,340,52.4%
DROP,160.5,346,100.0%
TRANSITION,162.0,349,100.0%
DROP,165.7,357,79.1%
BREAKDOWN,165.8,357,94.8%
TRANSITION,166.2,358,64.9%
TRANSITION,170.4,367,100.0%
DROP,170.8,368,100.0%
BREAKDOWN,174.2,375,94.6%
TRANSITION,174.6,376,100.0%
DROP,176.0,379,83.7%
TRANSITION,178.8,385,59.1%
DROP,181.1,390,68.2%
BREAKDOWN,182.2,392,81.0%
TRANSITION,183.0,394,95.6%
DROP,186.3,401,74.0%
TRANSITION,187.3,403,100.0%
BREAKDOWN,190.6,410,96.3%
DROP,191.4,412,80.8%
TRANSITION,191.5,412,50.7%
DROP,197.1,424,57.7%
TRANSITION,197.2,425,52.7%
BREAKDOWN,199.1,429,57.3%
TRANSITION,201.9,435,52.1%
DROP,202.7,436,64.5%
TRANSITION,206.5,445,100.0%
BREAKDOWN,207.3,446,52.2%
DROP,208.3,449,100.0%
TRANSITION,210.7,454,77.9%
DROP,213.9,461,81.8%
TRANSITION,214.9,463,100.0%
BREAKDOWN,215.5,464,64.9%
DROP,219.1,472,56.8%
TRANSITION,219.1,472,100.0%
TRANSITION,223.4,481,85.2%
BREAKDOWN,223.5,481,68.9%
DROP,224.3,483,100.0%
TRANSITION,227.6,490,98.6%
DROP,229.4,494,61.4%
BREAKDOWN,231.6,499,53.6%
TRANSITION,231.8,499,100.0%
DROP,234.6,505,100.0%
TRANSITION,236.0,508,59.8%
BREAKDOWN,239.8,516,100.0%
DROP,240.2,517,100.0%
TRANSITION,240.2,517,100.0%
TRANSITION,244.5,526,100.0%
DROP,245.8,529,100.0%
BREAKDOWN,248.3,535,63.8%
TRANSITION,248.7,535,70.1%
DROP,251.5,542,73.0%
TRANSITION,254.4,548,53.5%
BREAKDOWN,256.3,552,57.7%
DROP,257.1,554,55.5%
TRANSITION,259.0,558,53.2%
DROP,262.7,566,62.9%
TRANSITION,263.2,567,51.3%
BREAKDOWN,265.7,572,50.9%
TRANSITION,267.5,576,55.0%
TRANSITION,272.2,586,52.3%
DROP,274.0,590,59.3%
BREAKDOWN,274.5,591,58.4%
TRANSITION,276.9,596,54.4%
DROP,281.5,606,68.2%
TRANSITION,281.5,606,57.0%
BREAKDOWN,283.5,610,55.5%
TRANSITION,285.7,615,51.0%
DROP,289.0,622,77.5%
TRANSITION,290.0,624,73.6%
BREAKDOWN,291.6,628,54.3%
DROP,294.1,633,51.9%
TRANSITION,294.2,633,100.0%
TRANSITION,298.4,642,88.4%
DROP,299.3,644,99.3%
BREAKDOWN,299.8,646,100.0%
TRANSITION,302.6,652,99.1%
DROP,304.4,656,59.9%
TRANSITION,306.8,661,100.0%
BREAKDOWN,308.3,664,66.6%
DROP,309.6,667,100.0%
TRANSITION,311.0,670,62.1%
DROP,315.2,679,100.0%
