Type,Time (s),Beat,Confidence
DROP,0.0,0,53.5%
TRANSITION,0.0,0,67.7%
BREAKDOWN,0.0,0,62.3%
TRANSITION,4.3,9,83.2%
DROP,5.2,11,57.1%
BREAKDOWN,8.2,17,76.4%
TRANSITION,8.6,18,61.4%
DROP,10.4,21,53.0%
TRANSITION,12.9,26,79.9%
DROP,15.7,32,62.0%
BREAKDOWN,16.3,33,50.4%
TRANSITION,17.1,35,54.4%
DROP,20.9,43,57.2%
TRANSITION,21.4,44,74.9%
BREAKDOWN,24.4,50,70.6%
TRANSITION,25.7,53,83.9%
DROP,26.2,54,62.1%
TRANSITION,30.0,62,51.8%
BREAKDOWN,32.6,67,76.4%
BREAKDOWN,43.6,89,60.9%
DROP,43.8,90,63.4%
TRANSITION,43.8,90,85.8%
TRANSITION,48.1,99,52.9%
DROP,49.5,102,50.7%
BREAKDOWN,52.0,107,100.0%
TRANSITION,52.1,107,50.8%
DROP,55.2,113,58.9%
TRANSITION,56.2,115,78.5%
BREAKDOWN,60.1,123,81.5%
TRANSITION,60.5,124,77.2%
DROP,60.9,125,59.1%
TRANSITION,64.8,133,66.7%
DROP,66.6,137,53.4%
BREAKDOWN,68.2,140,78.0%
TRANSITION,68.9,141,55.9%
DROP,71.7,147,50.4%
TRANSITION,73.7,151,54.5%
BREAKDOWN,76.3,156,71.6%
DROP,77.1,158,50.7%
TRANSITION,77.7,159,89.3%
TRANSITION,81.9,168,82.4%
DROP,82.2,169,62.4%
BREAKDOWN,84.3,173,56.8%
TRANSITION,86.1,176,53.7%
DROP,87.9,180,66.8%
TRANSITION,90.1,185,99.7%
BREAKDOWN,92.4,190,55.3%
DROP,93.3,191,55.6%
TRANSITION,94.3,193,83.9%
BREAKDOWN,100.5,206,58.5%
DROP,106.6,219,58.9%
TRANSITION,106.7,219,87.0%
BREAKDOWN,108.6,223,51.0%
TRANSITION,111.0,228,87.1%
DROP,112.4,230,52.0%
TRANSITION,115.0,236,54.1%
BREAKDOWN,116.7,239,75.7%
DROP,118.1,242,55.3%
TRANSITION,119.0,244,74.9%
TRANSITION,123.3,253,74.1%
DROP,123.8,254,58.7%
BREAKDOWN,124.8,256,81.9%
TRANSITION,127.6,262,65.1%
DROP,129.5,266,54.1%
TRANSITION,131.8,270,55.2%
BREAKDOWN,132.9,273,54.8%
TRANSITION,135.8,278,86.7%
DROP,136.2,279,54.3%
TRANSITION,205.7,422,54.0%
BREAKDOWN,206.2,423,61.8%
DROP,207.0,424,51.5%
TRANSITION,209.9,430,50.2%
DROP,212.7,436,53.1%
TRANSITION,213.9,439,100.0%
BREAKDOWN,214.4,440,81.8%
TRANSITION,218.1,447,93.2%
DROP,218.4,448,62.8%
TRANSITION,222.4,456,51.3%
BREAKDOWN,222.4,456,76.5%
DROP,225.1,462,53.1%
TRANSITION,226.7,465,86.7%
DROP,230.5,473,56.3%
BREAKDOWN,230.6,473,87.8%
TRANSITION,231.0,474,90.2%
DROP,236.2,484,62.7%
TRANSITION,236.2,484,79.2%
BREAKDOWN,238.6,489,80.1%
TRANSITION,240.5,493,100.0%
DROP,241.9,496,59.4%
TRANSITION,244.8,502,100.0%
BREAKDOWN,246.8,506,60.6%
DROP,247.0,507,51.9%
TRANSITION,249.1,511,100.0%
DROP,252.7,518,52.3%
TRANSITION,253.3,520,50.5%
BREAKDOWN,254.8,523,69.9%
TRANSITION,257.5,528,54.8%
DROP,258.4,530,51.0%
TRANSITION,261.5,536,90.9%
BREAKDOWN,262.9,539,63.9%
DROP,264.1,542,63.1%
TRANSITION,266.7,547,55.7%
DROP,269.8,553,52.9%
TRANSITION,270.8,555,50.6%
BREAKDOWN,271.0,556,100.0%
TRANSITION,274.8,564,100.0%
DROP,275.6,565,54.4%
TRANSITION,279.1,572,83.9%
BREAKDOWN,279.1,572,69.4%
DROP,282.4,579,54.9%
TRANSITION,283.4,581,100.0%
BREAKDOWN,287.2,589,64.1%
DROP,287.6,590,55.6%
TRANSITION,287.6,590,96.1%
TRANSITION,291.9,599,99.2%
DROP,292.8,601,67.7%
BREAKDOWN,295.3,606,52.5%
TRANSITION,296.2,607,90.6%
TRANSITION,300.4,616,52.8%
BREAKDOWN,303.4,622,100.0%
DROP,303.8,623,63.7%
TRANSITION,304.4,624,74.0%
TRANSITION,308.9,634,51.1%
BREAKDOWN,312.0,640,51.3%
DROP,312.4,641,62.0%
TRANSITION,312.9,642,78.7%
TRANSITION,317.1,650,59.5%
BREAKDOWN,320.8,658,64.8%
TRANSITION,321.4,659,72.5%
TRANSITION,325.7,668,50.4%
BREAKDOWN,329.3,675,51.4%
TRANSITION,330.0,677,73.5%
TRANSITION,334.3,686,100.0%
DROP,336.2,689,52.4%
BREAKDOWN,337.4,692,53.9%
TRANSITION,338.6,694,89.6%
BREAKDOWN,346.0,710,54.8%
BREAKDOWN,354.6,727,51.3%
