Type,Time (s),Beat,Confidence
DROP,0.0,0,52.9%
TRANSITION,0.0,0,100.0%
BREAKDOWN,0.0,0,100.0%
TRANSITION,4.1,8,52.1%
DROP,5.3,11,90.9%
TRANSITION,8.2,17,80.4%
BREAKDOWN,8.3,17,100.0%
DROP,10.4,21,51.2%
TRANSITION,12.3,25,54.1%
DROP,15.4,32,54.4%
TRANSITION,16.4,34,100.0%
BREAKDOWN,16.5,34,100.0%
DROP,20.5,42,61.4%
TRANSITION,20.8,43,70.4%
BREAKDOWN,24.7,51,100.0%
TRANSITION,24.9,51,53.3%
DROP,25.6,53,100.0%
DROP,30.9,63,65.4%
TRANSITION,31.0,63,100.0%
BREAKDOWN,32.9,68,100.0%
TRANSITION,35.3,72,84.3%
DROP,36.0,74,55.0%
TRANSITION,39.7,81,100.0%
DROP,41.1,84,54.9%
BREAKDOWN,41.2,84,100.0%
TRANSITION,44.0,90,100.0%
DROP,46.4,95,76.0%
TRANSITION,48.1,99,51.3%
BREAKDOWN,49.4,101,100.0%
DROP,51.7,106,100.0%
TRANSITION,52.2,107,100.0%
TRANSITION,56.6,116,97.9%
DROP,56.8,117,54.5%
BREAKDOWN,57.6,118,100.0%
DROP,61.9,127,72.5%
TRANSITION,61.9,127,100.0%
BREAKDOWN,65.9,135,100.0%
TRANSITION,66.0,135,52.9%
DROP,67.2,138,91.7%
TRANSITION,70.1,144,100.0%
DROP,72.5,149,83.7%
BREAKDOWN,74.1,152,88.4%
TRANSITION,74.5,153,100.0%
DROP,77.6,159,58.9%
TRANSITION,78.6,161,52.0%
BREAKDOWN,82.3,169,100.0%
DROP,82.7,170,83.4%
TRANSITION,82.7,170,100.0%
TRANSITION,86.8,178,51.4%
DROP,88.0,181,84.5%
TRANSITION,92.9,190,73.8%
BREAKDOWN,92.9,191,96.4%
DROP,93.1,191,52.2%
TRANSITION,97.0,199,54.5%
DROP,98.2,201,87.5%
TRANSITION,101.1,207,71.3%
BREAKDOWN,101.2,207,100.0%
DROP,103.5,212,82.2%
TRANSITION,105.5,216,94.8%
DROP,108.8,223,87.9%
BREAKDOWN,109.4,224,100.0%
TRANSITION,109.8,225,100.0%
DROP,113.9,234,53.5%
TRANSITION,113.9,234,52.1%
BREAKDOWN,117.6,241,100.0%
TRANSITION,118.1,242,98.6%
DROP,119.0,244,87.1%
TRANSITION,123.9,254,97.1%
DROP,124.1,255,50.2%
BREAKDOWN,125.9,258,100.0%
TRANSITION,128.2,263,69.7%
DROP,129.1,265,69.9%
TRANSITION,132.6,272,100.0%
BREAKDOWN,134.1,275,99.6%
DROP,134.3,275,55.5%
TRANSITION,136.9,281,96.7%
DROP,139.3,286,57.5%
TRANSITION,141.0,289,52.6%
BREAKDOWN,142.3,292,100.0%
DROP,144.6,297,80.6%
TRANSITION,145.1,298,100.0%
TRANSITION,149.5,307,78.8%
DROP,149.7,307,56.5%
BREAKDOWN,150.5,309,100.0%
TRANSITION,154.6,317,50.7%
DROP,154.8,317,64.7%
TRANSITION,158.7,325,75.7%
BREAKDOWN,158.8,326,100.0%
DROP,159.9,328,50.2%
TRANSITION,163.1,334,100.0%
DROP,165.0,338,77.8%
BREAKDOWN,167.0,342,92.6%
TRANSITION,167.4,343,100.0%
DROP,170.3,349,63.9%
TRANSITION,171.8,352,94.0%
BREAKDOWN,175.2,359,100.0%
DROP,175.6,360,55.4%
TRANSITION,176.1,361,75.8%
TRANSITION,180.2,370,54.7%
DROP,180.9,371,90.5%
BREAKDOWN,183.4,376,100.0%
TRANSITION,185.8,381,62.0%
DROP,186.2,382,89.9%
TRANSITION,189.9,389,61.1%
DROP,191.4,392,59.3%
BREAKDOWN,191.7,393,100.0%
TRANSITION,194.0,398,66.0%
DROP,196.4,403,84.0%
TRANSITION,198.1,406,53.1%
BREAKDOWN,199.9,410,82.0%
DROP,201.7,414,93.9%
TRANSITION,202.2,415,99.1%
TRANSITION,206.4,423,51.2%
DROP,206.8,424,57.6%
BREAKDOWN,208.1,427,100.0%
TRANSITION,210.5,432,95.7%
DROP,211.9,435,78.7%
TRANSITION,216.5,444,57.1%
BREAKDOWN,216.6,444,57.7%
DROP,217.2,445,52.2%
TRANSITION,222.1,455,50.7%
DROP,223.0,457,64.5%
BREAKDOWN,225.0,462,100.0%
TRANSITION,227.9,467,53.8%
DROP,228.8,469,82.4%
BREAKDOWN,233.8,479,100.0%
DROP,234.6,481,81.1%
TRANSITION,234.7,481,50.8%
DROP,240.4,493,84.8%
TRANSITION,240.5,493,58.2%
BREAKDOWN,242.0,496,69.7%
DROP,246.9,506,63.3%
BREAKDOWN,250.2,513,67.4%
DROP,255.9,525,57.9%
BREAKDOWN,258.4,530,69.6%
DROP,262.4,538,60.3%
TRANSITION,263.2,540,100.0%
BREAKDOWN,266.7,547,100.0%
TRANSITION,267.3,548,58.9%
DROP,267.5,549,97.2%
TRANSITION,271.4,557,100.0%
DROP,272.6,559,51.7%
BREAKDOWN,274.9,564,53.3%
TRANSITION,275.6,565,53.2%
DROP,279.2,572,88.4%
TRANSITION,279.7,574,88.4%
BREAKDOWN,282.9,580,64.7%
TRANSITION,284.0,582,93.6%
DROP,284.3,583,63.3%
TRANSITION,288.1,591,55.1%
DROP,289.3,593,80.8%
BREAKDOWN,291.1,597,50.7%
TRANSITION,292.2,599,98.6%
DROP,294.6,604,87.6%
TRANSITION,298.1,611,100.0%
BREAKDOWN,299.6,614,100.0%
DROP,299.7,615,52.0%
TRANSITION,302.2,620,51.8%
DROP,304.8,625,63.4%
TRANSITION,306.3,628,100.0%
BREAKDOWN,307.8,631,72.8%
DROP,309.9,636,52.1%
TRANSITION,310.6,637,100.0%
DROP,315.0,646,60.2%
TRANSITION,315.0,646,79.3%
BREAKDOWN,315.8,648,58.0%
TRANSITION,319.3,655,79.2%
DROP,320.3,657,58.2%
TRANSITION,323.5,663,51.8%
BREAKDOWN,324.2,665,100.0%
DROP,325.6,668,72.2%
TRANSITION,327.6,672,100.0%
DROP,330.7,678,52.7%
TRANSITION,331.9,681,100.0%
BREAKDOWN,332.5,682,100.0%
DROP,335.8,689,64.4%
TRANSITION,336.3,690,100.0%
