Type,Time (s),Beat,Confidence
TRANSITION,340.6,699,100.0%
BREAKDOWN,340.7,699,100.0%
DROP,341.1,699,50.5%
TRANSITION,344.7,707,63.6%
DROP,346.9,711,100.0%
TRANSITION,348.9,715,100.0%
BREAKDOWN,348.9,716,100.0%
DROP,352.7,723,100.0%
TRANSITION,353.2,724,100.0%
BREAKDOWN,357.1,732,100.0%
TRANSITION,357.3,733,53.5%
DROP,357.8,734,53.2%
TRANSITION,361.4,741,100.0%
DROP,362.9,744,63.6%
BREAKDOWN,365.3,749,72.0%
DROP,371.3,762,68.8%
TRANSITION,371.6,762,98.0%
BREAKDOWN,373.6,766,68.5%
TRANSITION,376.0,771,53.6%
DROP,377.1,773,54.6%
TRANSITION,381.8,783,56.0%
BREAKDOWN,381.8,783,100.0%
DROP,383.7,787,75.3%
TRANSITION,387.1,794,98.2%
DROP,389.5,799,60.9%
BREAKDOWN,390.0,800,69.4%
TRANSITION,393.4,807,54.2%
DROP,395.3,811,64.1%
BREAKDOWN,398.3,817,78.9%
TRANSITION,399.2,819,52.8%
DROP,402.5,826,100.0%
TRANSITION,403.5,828,94.2%
BREAKDOWN,406.5,834,60.5%
DROP,407.9,836,58.8%
TRANSITION,407.9,836,76.1%
TRANSITION,412.2,845,66.9%
DROP,413.2,847,75.3%
BREAKDOWN,414.7,851,100.0%
TRANSITION,416.4,854,53.9%
DROP,418.5,858,75.5%
TRANSITION,420.5,862,99.3%
BREAKDOWN,423.0,867,100.0%
DROP,423.6,869,54.4%
TRANSITION,424.8,871,100.0%
DROP,428.7,879,78.6%
TRANSITION,428.9,880,54.4%
BREAKDOWN,431.2,884,100.0%
TRANSITION,433.1,888,100.0%
DROP,434.0,890,69.3%
TRANSITION,437.4,897,57.6%
BREAKDOWN,439.4,901,100.0%
DROP,439.8,902,72.1%
TRANSITION,441.5,905,59.4%
DROP,445.6,914,77.3%
TRANSITION,445.6,914,97.9%
BREAKDOWN,447.4,918,59.9%
TRANSITION,449.7,922,52.6%
DROP,451.4,926,73.2%
TRANSITION,453.9,931,90.2%
BREAKDOWN,455.9,935,100.0%
DROP,456.8,937,52.9%
TRANSITION,458.2,940,51.1%
DROP,462.1,948,65.3%
TRANSITION,462.3,948,51.0%
BREAKDOWN,463.9,951,54.0%
TRANSITION,466.4,957,54.6%
DROP,467.4,959,55.6%
TRANSITION,470.6,965,52.7%
BREAKDOWN,472.3,969,51.1%
DROP,472.7,969,67.0%
TRANSITION,474.7,973,100.0%
DROP,477.8,980,52.4%
TRANSITION,480.0,984,66.3%
BREAKDOWN,480.5,985,100.0%
DROP,482.9,990,51.2%
TRANSITION,484.3,993,100.0%
DROP,488.2,1001,58.9%
TRANSITION,488.5,1002,53.7%
BREAKDOWN,488.8,1002,100.0%
TRANSITION,492.6,1010,93.3%
DROP,494.0,1013,72.4%
TRANSITION,496.9,1019,95.7%
BREAKDOWN,497.0,1019,100.0%
DROP,499.8,1025,65.0%
TRANSITION,501.0,1028,57.1%
DROP,504.9,1035,51.3%
TRANSITION,505.2,1036,65.2%
BREAKDOWN,505.2,1036,100.0%
TRANSITION,509.3,1044,56.4%
DROP,511.4,1049,100.0%
TRANSITION,513.4,1053,100.0%
BREAKDOWN,513.4,1053,100.0%
DROP,517.2,1061,100.0%
TRANSITION,517.7,1062,100.0%
BREAKDOWN,521.7,1070,100.0%
TRANSITION,521.8,1070,53.4%
DROP,522.8,1072,50.8%
TRANSITION,526.4,1080,100.0%
DROP,527.9,1083,80.9%
BREAKDOWN,529.9,1087,100.0%
TRANSITION,530.6,1088,65.5%
DROP,533.2,1093,50.8%
TRANSITION,534.7,1096,100.0%
BREAKDOWN,538.1,1104,100.0%
DROP,538.5,1104,100.0%
TRANSITION,539.0,1105,100.0%
