Type,Time (s),Beat,Confidence
DROP,0.0,0,79.4%
TRANSITION,0.0,0,95.4%
BREAKDOWN,0.1,0,100.0%
TRANSITION,4.1,8,74.4%
DROP,5.2,11,98.9%
TRANSITION,8.1,17,100.0%
BREAKDOWN,8.2,17,100.0%
DROP,10.4,21,50.5%
TRANSITION,12.2,25,50.0%
DROP,15.7,32,96.9%
TRANSITION,16.2,33,100.0%
BREAKDOWN,16.3,33,100.0%
TRANSITION,20.2,42,87.5%
DROP,20.9,43,78.4%
TRANSITION,24.3,50,100.0%
BREAKDOWN,24.4,50,100.0%
DROP,26.2,54,88.8%
TRANSITION,28.4,58,64.3%
DROP,31.4,64,85.9%
TRANSITION,32.4,66,100.0%
BREAKDOWN,32.4,67,66.0%
TRANSITION,36.4,75,75.9%
DROP,36.6,75,60.3%
TRANSITION,40.5,83,62.1%
BREAKDOWN,40.5,83,87.4%
DROP,41.9,86,87.2%
TRANSITION,44.5,91,70.6%
DROP,60.9,125,100.0%
TRANSITION,61.0,125,95.4%
BREAKDOWN,61.0,125,100.0%
TRANSITION,65.0,133,74.2%
DROP,66.2,136,94.8%
TRANSITION,69.1,142,100.0%
BREAKDOWN,69.1,142,100.0%
DROP,71.4,146,74.0%
TRANSITION,73.1,150,61.7%
DROP,76.6,157,98.6%
TRANSITION,77.2,158,100.0%
BREAKDOWN,77.2,158,100.0%
TRANSITION,81.2,167,87.7%
DROP,81.9,168,77.7%
TRANSITION,85.2,175,100.0%
BREAKDOWN,85.3,175,100.0%
DROP,87.1,179,92.8%
TRANSITION,89.3,183,53.9%
DROP,92.4,189,86.1%
TRANSITION,93.3,191,100.0%
BREAKDOWN,93.4,192,65.0%
TRANSITION,97.4,200,76.2%
DROP,97.6,200,65.1%
TRANSITION,101.4,208,71.1%
BREAKDOWN,101.5,208,100.0%
DROP,102.8,211,88.5%
TRANSITION,105.5,216,74.3%
DROP,108.1,222,62.3%
TRANSITION,109.5,225,100.0%
BREAKDOWN,109.6,225,100.0%
DROP,113.3,232,77.4%
TRANSITION,113.6,233,54.4%
TRANSITION,117.6,241,100.0%
BREAKDOWN,117.7,241,85.6%
DROP,118.6,243,79.4%
TRANSITION,121.7,250,69.5%
BREAKDOWN,125.9,258,100.0%
BREAKDOWN,134.1,275,100.0%
BREAKDOWN,142.1,291,100.0%
BREAKDOWN,150.3,308,100.0%
DROP,152.4,312,100.0%
TRANSITION,152.4,313,100.0%
TRANSITION,156.4,321,88.6%
DROP,157.6,323,60.9%
BREAKDOWN,158.4,325,100.0%
TRANSITION,160.5,329,72.7%
DROP,162.8,334,85.6%
TRANSITION,164.5,337,82.7%
BREAKDOWN,166.5,341,85.7%
DROP,168.1,345,52.0%
TRANSITION,168.6,346,100.0%
TRANSITION,172.6,354,62.4%
DROP,173.3,355,77.2%
BREAKDOWN,174.6,358,69.7%
TRANSITION,176.7,362,100.0%
DROP,178.6,366,82.0%
TRANSITION,180.7,371,83.2%
BREAKDOWN,182.7,375,100.0%
DROP,183.8,377,56.8%
TRANSITION,184.8,379,68.5%
TRANSITION,188.8,387,86.3%
DROP,189.0,388,89.4%
BREAKDOWN,190.8,391,97.0%
TRANSITION,192.9,396,100.0%
DROP,194.3,398,69.0%
TRANSITION,196.9,404,74.1%
BREAKDOWN,198.9,408,100.0%
DROP,199.5,409,81.2%
