Type,Time (s),Beat,Confidence
TRANSITION,201.0,412,100.0%
DROP,204.8,420,73.7%
TRANSITION,205.0,420,98.7%
BREAKDOWN,207.0,424,98.5%
DROP,213.3,437,100.0%
TRANSITION,213.3,438,100.0%
BREAKDOWN,215.1,441,100.0%
TRANSITION,217.4,446,82.4%
DROP,218.5,448,59.3%
TRANSITION,221.4,454,71.5%
BREAKDOWN,223.2,458,100.0%
DROP,223.8,459,75.9%
TRANSITION,225.5,462,100.0%
DROP,229.0,470,51.5%
TRANSITION,229.5,471,100.0%
BREAKDOWN,231.2,474,58.6%
TRANSITION,233.6,479,53.1%
DROP,234.3,480,75.8%
TRANSITION,237.6,487,100.0%
BREAKDOWN,239.4,491,100.0%
DROP,239.5,491,79.5%
TRANSITION,241.7,496,77.2%
DROP,244.5,501,61.9%
TRANSITION,246.0,504,74.4%
BREAKDOWN,247.5,507,100.0%
DROP,249.8,512,56.5%
TRANSITION,250.2,513,68.9%
TRANSITION,254.5,522,72.2%
DROP,255.5,524,52.7%
BREAKDOWN,255.5,524,82.0%
TRANSITION,258.8,531,65.0%
BREAKDOWN,263.6,541,100.0%
BREAKDOWN,271.7,557,90.9%
BREAKDOWN,279.8,574,100.0%
BREAKDOWN,287.9,590,100.0%
DROP,293.0,601,53.8%
TRANSITION,293.3,602,100.0%
BREAKDOWN,296.0,607,50.7%
TRANSITION,297.4,610,73.4%
DROP,298.1,611,62.5%
TRANSITION,301.4,618,100.0%
DROP,303.3,622,81.4%
BREAKDOWN,304.1,624,50.4%
TRANSITION,305.5,626,100.0%
DROP,308.6,633,69.4%
TRANSITION,309.5,635,65.0%
BREAKDOWN,312.2,640,100.0%
TRANSITION,313.6,643,99.2%
DROP,313.8,644,92.5%
TRANSITION,317.6,651,100.0%
DROP,319.0,654,73.2%
BREAKDOWN,320.3,657,93.9%
TRANSITION,321.7,660,69.5%
DROP,324.3,665,88.6%
TRANSITION,325.7,668,100.0%
BREAKDOWN,328.4,673,100.0%
DROP,329.5,676,78.8%
TRANSITION,329.8,676,97.7%
TRANSITION,333.8,685,95.2%
DROP,334.7,686,72.8%
BREAKDOWN,336.5,690,100.0%
TRANSITION,337.9,693,59.8%
DROP,340.0,697,79.6%
TRANSITION,341.9,701,100.0%
BREAKDOWN,344.6,707,100.0%
DROP,345.2,708,54.9%
TRANSITION,346.0,709,77.0%
TRANSITION,350.0,718,53.0%
DROP,350.5,719,77.8%
BREAKDOWN,352.7,723,100.0%
TRANSITION,354.1,726,88.5%
DROP,355.7,729,71.2%
TRANSITION,358.1,734,91.7%
BREAKDOWN,360.8,740,100.0%
DROP,360.9,740,59.8%
TRANSITION,362.1,743,66.5%
BREAKDOWN,368.9,757,100.0%
BREAKDOWN,377.0,773,100.0%
DROP,380.9,781,65.7%
TRANSITION,380.9,781,64.8%
TRANSITION,385.0,790,86.7%
BREAKDOWN,385.1,790,88.8%
DROP,386.2,792,93.3%
TRANSITION,389.1,798,100.0%
DROP,391.4,803,82.5%
TRANSITION,393.1,806,61.4%
BREAKDOWN,393.2,806,95.9%
DROP,396.6,813,67.3%
TRANSITION,397.2,814,100.0%
TRANSITION,401.2,823,77.4%
BREAKDOWN,401.3,823,87.3%
DROP,401.9,824,89.5%
TRANSITION,405.2,831,70.5%
DROP,407.1,835,59.9%
TRANSITION,409.3,839,80.3%
BREAKDOWN,409.3,839,100.0%
DROP,412.4,846,70.9%
TRANSITION,413.3,848,100.0%
TRANSITION,417.4,856,66.7%
BREAKDOWN,417.4,856,100.0%
DROP,417.6,856,72.5%
TRANSITION,421.4,864,100.0%
DROP,422.8,867,72.4%
TRANSITION,425.5,873,100.0%
BREAKDOWN,425.6,873,100.0%
DROP,427.9,877,71.3%
TRANSITION,429.8,881,75.6%
DROP,433.1,888,53.4%
BREAKDOWN,433.7,889,100.0%
TRANSITION,434.1,890,66.8%
DROP,438.3,899,63.2%
TRANSITION,438.3,899,75.3%
BREAKDOWN,441.7,906,95.2%
