Type,Time (s),Beat,Confidence
DROP,0.3,1,100.0%
TRANSITION,0.3,1,83.1%
BREAKDOWN,0.4,1,86.1%
TRANSITION,4.6,9,52.6%
DROP,5.5,11,89.1%
BREAKDOWN,8.5,17,73.6%
TRANSITION,8.8,18,76.5%
DROP,10.7,22,100.0%
TRANSITION,13.1,27,67.8%
DROP,16.0,33,57.9%
BREAKDOWN,16.6,34,83.4%
TRANSITION,17.4,36,74.9%
DROP,21.2,43,100.0%
TRANSITION,21.7,45,71.7%
BREAKDOWN,24.7,51,85.4%
TRANSITION,26.0,53,60.9%
DROP,26.4,54,100.0%
TRANSITION,30.3,62,77.5%
DROP,31.7,65,96.0%
BREAKDOWN,32.8,67,72.3%
TRANSITION,34.6,71,53.3%
DROP,36.9,76,100.0%
TRANSITION,38.8,80,73.7%
BREAKDOWN,40.9,84,90.1%
DROP,42.1,86,88.3%
TRANSITION,43.1,88,71.3%
DROP,47.4,97,100.0%
TRANSITION,47.4,97,65.0%
BREAKDOWN,48.9,100,62.2%
TRANSITION,51.7,106,77.8%
DROP,52.6,108,83.7%
TRANSITION,56.0,115,64.3%
BREAKDOWN,57.1,117,71.5%
DROP,57.9,119,91.4%
TRANSITION,60.3,124,72.8%
DROP,63.1,129,100.0%
TRANSITION,64.6,132,56.2%
BREAKDOWN,65.2,134,90.5%
DROP,68.3,140,93.7%
TRANSITION,68.8,141,77.1%
TRANSITION,73.1,150,70.4%
BREAKDOWN,73.2,150,77.7%
DROP,73.6,151,100.0%
TRANSITION,77.4,159,65.1%
DROP,78.8,162,60.9%
BREAKDOWN,81.3,167,73.2%
TRANSITION,81.7,168,64.7%
DROP,84.1,172,86.5%
TRANSITION,86.0,176,62.2%
DROP,89.3,183,68.5%
BREAKDOWN,89.4,183,67.0%
TRANSITION,90.3,185,69.5%
DROP,94.6,194,84.0%
TRANSITION,94.6,194,61.9%
BREAKDOWN,97.5,200,68.6%
TRANSITION,98.8,203,70.1%
DROP,107.0,219,77.2%
TRANSITION,107.0,219,79.5%
BREAKDOWN,107.0,220,58.5%
TRANSITION,111.2,228,62.1%
DROP,112.7,231,66.6%
BREAKDOWN,115.1,236,65.3%
TRANSITION,115.4,237,50.2%
