Type,Time (s),Beat,Confidence
DROP,0.0,0,72.9%
BREAKDOWN,0.6,1,76.1%
DROP,5.3,11,51.4%
BREAKDOWN,8.7,18,51.2%
DROP,10.5,22,51.1%
BREAKDOWN,16.8,34,75.9%
DROP,23.9,49,50.2%
BREAKDOWN,24.9,51,77.5%
DROP,29.6,61,59.9%
BREAKDOWN,33.0,68,51.8%
DROP,35.3,72,56.4%
BREAKDOWN,41.1,84,86.5%
BREAKDOWN,49.4,101,71.7%
BREAKDOWN,57.9,119,84.6%
DROP,61.0,125,100.0%
TRANSITION,61.0,125,100.0%
TRANSITION,65.3,134,100.0%
DROP,66.2,136,100.0%
BREAKDOWN,66.3,136,100.0%
TRANSITION,69.6,143,81.6%
DROP,71.5,147,68.2%
TRANSITION,73.9,152,100.0%
BREAKDOWN,74.4,153,57.8%
DROP,76.7,157,100.0%
TRANSITION,78.2,160,100.0%
DROP,82.0,168,100.0%
TRANSITION,82.5,169,100.0%
BREAKDOWN,82.5,169,100.0%
TRANSITION,86.7,178,100.0%
DROP,87.2,179,98.7%
BREAKDOWN,90.6,186,100.0%
TRANSITION,91.0,187,100.0%
DROP,92.4,190,100.0%
TRANSITION,95.3,195,100.0%
DROP,97.7,200,80.5%
BREAKDOWN,98.7,202,74.2%
TRANSITION,99.6,204,80.0%
DROP,102.9,211,100.0%
TRANSITION,103.9,213,100.0%
BREAKDOWN,106.8,219,100.0%
DROP,108.1,222,55.0%
TRANSITION,108.2,222,50.8%
TRANSITION,112.5,231,100.0%
DROP,113.4,233,100.0%
BREAKDOWN,114.9,236,100.0%
TRANSITION,116.7,239,100.0%
DROP,118.6,243,100.0%
TRANSITION,121.0,248,100.0%
BREAKDOWN,123.0,252,100.0%
DROP,123.9,254,100.0%
TRANSITION,125.3,257,100.0%
DROP,129.1,265,100.0%
BREAKDOWN,131.8,270,54.7%
BREAKDOWN,141.1,289,50.6%
DROP,152.4,313,100.0%
TRANSITION,152.5,313,100.0%
BREAKDOWN,152.5,313,100.0%
TRANSITION,156.7,321,100.0%
DROP,157.7,323,90.0%
BREAKDOWN,160.6,329,56.4%
TRANSITION,161.0,330,100.0%
DROP,162.9,334,100.0%
TRANSITION,165.3,339,67.1%
DROP,168.1,345,52.6%
BREAKDOWN,168.7,346,100.0%
TRANSITION,169.6,348,100.0%
DROP,173.4,356,100.0%
TRANSITION,173.7,356,52.5%
BREAKDOWN,176.8,363,100.0%
TRANSITION,177.7,364,100.0%
DROP,178.6,366,100.0%
TRANSITION,182.0,373,100.0%
DROP,183.9,377,100.0%
BREAKDOWN,184.9,379,100.0%
TRANSITION,186.3,382,100.0%
DROP,189.1,388,100.0%
TRANSITION,190.5,391,97.7%
BREAKDOWN,193.0,396,100.0%
DROP,194.3,399,62.3%
TRANSITION,194.6,399,65.6%
TRANSITION,198.6,407,100.0%
DROP,199.6,409,100.0%
BREAKDOWN,201.1,412,100.0%
TRANSITION,202.9,416,100.0%
DROP,204.8,420,100.0%
TRANSITION,207.2,425,100.0%
BREAKDOWN,209.2,429,88.3%
DROP,210.0,431,76.7%
TRANSITION,211.5,434,100.0%
DROP,215.3,442,100.0%
TRANSITION,215.8,443,100.0%
BREAKDOWN,217.3,446,100.0%
TRANSITION,220.1,451,100.0%
DROP,220.5,452,78.7%
TRANSITION,224.4,460,66.1%
DROP,225.8,463,64.4%
BREAKDOWN,225.9,463,64.1%
TRANSITION,228.4,468,68.6%
DROP,231.5,475,74.1%
TRANSITION,232.7,477,53.8%
BREAKDOWN,234.2,480,62.4%
DROP,239.1,490,53.0%
BREAKDOWN,242.3,497,66.2%
DROP,246.0,505,50.1%
TRANSITION,246.0,505,52.4%
BREAKDOWN,250.6,514,57.5%
DROP,251.7,516,51.8%
TRANSITION,251.8,516,58.4%
TRANSITION,257.0,527,51.4%
DROP,259.1,531,67.3%
BREAKDOWN,259.2,532,100.0%
TRANSITION,261.0,535,64.6%
DROP,264.3,542,100.0%
TRANSITION,265.3,544,100.0%
BREAKDOWN,267.3,548,100.0%
DROP,269.6,553,100.0%
TRANSITION,269.6,553,100.0%
TRANSITION,273.9,562,100.0%
DROP,274.8,564,100.0%
BREAKDOWN,275.4,565,100.0%
TRANSITION,277.9,570,66.3%
DROP,280.1,574,100.0%
TRANSITION,282.0,578,100.0%
BREAKDOWN,283.5,581,64.1%
DROP,285.3,585,74.6%
TRANSITION,286.3,587,84.3%
DROP,290.5,596,100.0%
TRANSITION,290.6,596,100.0%
BREAKDOWN,291.6,598,100.0%
TRANSITION,294.8,605,100.0%
DROP,295.8,607,100.0%
TRANSITION,298.9,613,78.6%
BREAKDOWN,299.7,615,100.0%
DROP,301.0,617,90.8%
TRANSITION,302.9,621,100.0%
DROP,306.2,628,100.0%
TRANSITION,307.2,630,100.0%
BREAKDOWN,307.8,631,85.5%
DROP,311.5,639,98.0%
TRANSITION,311.5,639,100.0%
TRANSITION,315.6,647,62.8%
BREAKDOWN,315.9,648,100.0%
DROP,316.7,650,100.0%
TRANSITION,319.6,655,100.0%
DROP,321.9,660,50.3%
TRANSITION,323.7,664,61.8%
BREAKDOWN,324.0,664,100.0%
DROP,327.2,671,100.0%
TRANSITION,327.7,672,100.0%
TRANSITION,331.7,680,55.5%
BREAKDOWN,332.0,681,92.1%
DROP,332.4,682,100.0%
TRANSITION,335.8,689,100.0%
DROP,337.7,692,83.0%
TRANSITION,340.1,697,100.0%
BREAKDOWN,340.1,698,100.0%
DROP,342.9,703,100.0%
TRANSITION,344.1,706,56.5%
BREAKDOWN,348.5,715,50.5%
DROP,350.5,719,100.0%
TRANSITION,350.6,719,100.0%
TRANSITION,354.8,728,100.0%
DROP,355.8,730,100.0%
BREAKDOWN,356.6,731,70.2%
TRANSITION,359.1,736,100.0%
DROP,361.0,740,100.0%
TRANSITION,363.4,745,100.0%
BREAKDOWN,364.9,748,90.3%
DROP,366.2,751,100.0%
TRANSITION,367.7,754,100.0%
DROP,371.5,762,76.7%
TRANSITION,372.0,763,100.0%
BREAKDOWN,373.0,765,100.0%
TRANSITION,376.3,772,95.5%
DROP,376.7,773,100.0%
TRANSITION,380.6,780,100.0%
BREAKDOWN,381.1,782,56.9%
DROP,381.9,783,74.1%
TRANSITION,384.6,789,50.5%
DROP,387.2,794,100.0%
TRANSITION,388.7,797,100.0%
BREAKDOWN,389.2,798,100.0%
DROP,392.4,805,100.0%
TRANSITION,392.9,806,100.0%
TRANSITION,397.2,815,100.0%
BREAKDOWN,397.3,815,100.0%
DROP,397.7,816,100.0%
TRANSITION,401.5,823,100.0%
DROP,402.9,826,100.0%
BREAKDOWN,405.4,831,59.1%
TRANSITION,405.6,832,89.7%
DROP,408.2,837,95.9%
TRANSITION,409.6,840,100.0%
DROP,413.4,848,100.0%
BREAKDOWN,413.5,848,100.0%
TRANSITION,413.9,849,100.0%
TRANSITION,418.2,858,100.0%
DROP,418.6,859,100.0%
BREAKDOWN,421.6,865,100.0%
TRANSITION,422.5,866,100.0%
DROP,423.9,869,100.0%
TRANSITION,426.7,875,100.0%
DROP,429.1,880,100.0%
BREAKDOWN,429.7,881,77.4%
TRANSITION,431.0,884,100.0%
DROP,434.3,891,77.0%
TRANSITION,435.3,893,100.0%
BREAKDOWN,437.8,898,100.0%
DROP,439.6,901,100.0%
TRANSITION,439.6,902,100.0%
DROP,445.3,913,58.2%
TRANSITION,445.8,914,63.0%
BREAKDOWN,445.9,914,80.4%
DROP,450.5,924,51.6%
TRANSITION,451.5,926,69.3%
BREAKDOWN,454.0,931,54.0%
DROP,456.2,936,56.9%
TRANSITION,457.9,939,53.4%
TRANSITION,462.9,949,61.2%
BREAKDOWN,463.0,950,76.7%
DROP,463.9,951,71.4%
TRANSITION,467.7,959,55.0%
DROP,469.6,963,56.2%
BREAKDOWN,472.3,969,78.0%
TRANSITION,472.5,969,100.0%
DROP,474.8,974,100.0%
TRANSITION,476.8,978,100.0%
DROP,480.0,984,100.0%
BREAKDOWN,480.4,985,77.9%
TRANSITION,481.0,986,100.0%
DROP,485.3,995,100.0%
TRANSITION,485.3,995,100.0%
BREAKDOWN,488.7,1002,97.7%
TRANSITION,489.4,1004,51.3%
DROP,490.5,1006,100.0%
TRANSITION,493.4,1012,98.7%
DROP,495.8,1017,100.0%
BREAKDOWN,496.8,1019,100.0%
TRANSITION,497.5,1020,58.0%
DROP,501.0,1027,58.1%
TRANSITION,501.5,1028,100.0%
BREAKDOWN,504.9,1035,100.0%
TRANSITION,505.8,1037,59.1%
DROP,506.2,1038,100.0%
TRANSITION,509.8,1046,64.3%
DROP,511.5,1049,100.0%
BREAKDOWN,513.0,1052,94.1%
TRANSITION,513.9,1054,100.0%
DROP,516.7,1060,95.0%
TRANSITION,517.9,1062,63.3%
BREAKDOWN,521.1,1069,100.0%
DROP,522.0,1070,100.0%
TRANSITION,522.0,1070,100.0%
TRANSITION,526.3,1079,87.2%
DROP,527.2,1081,76.3%
BREAKDOWN,529.2,1085,55.0%
TRANSITION,530.6,1088,100.0%
DROP,532.4,1092,99.6%
TRANSITION,534.8,1097,62.0%
BREAKDOWN,537.3,1102,100.0%
DROP,537.7,1103,100.0%
TRANSITION,538.9,1105,90.4%
DROP,542.9,1113,100.0%
TRANSITION,542.9,1113,100.0%
BREAKDOWN,545.4,1118,100.0%
TRANSITION,547.2,1122,100.0%
DROP,548.2,1124,100.0%
TRANSITION,551.5,1131,100.0%
DROP,553.4,1135,100.0%
BREAKDOWN,553.5,1135,99.0%
TRANSITION,555.8,1140,100.0%
DROP,558.6,1146,100.0%
TRANSITION,560.1,1149,93.6%
BREAKDOWN,561.6,1152,100.0%
DROP,563.9,1156,66.6%
TRANSITION,564.4,1157,100.0%
TRANSITION,568.6,1166,63.5%
DROP,569.1,1167,100.0%
BREAKDOWN,569.7,1168,100.0%
TRANSITION,572.9,1175,100.0%
DROP,574.3,1178,100.0%
TRANSITION,577.0,1183,51.3%
BREAKDOWN,577.8,1185,100.0%
DROP,579.6,1189,100.0%
TRANSITION,581.0,1192,100.0%
DROP,584.8,1199,100.0%
TRANSITION,585.3,1200,100.0%
BREAKDOWN,585.9,1201,100.0%
TRANSITION,589.6,1209,100.0%
DROP,590.0,1210,71.5%
TRANSITION,593.9,1218,64.4%
BREAKDOWN,594.0,1218,100.0%
DROP,595.3,1221,100.0%
TRANSITION,598.2,1227,100.0%
DROP,600.5,1232,100.0%
BREAKDOWN,602.0,1235,100.0%
TRANSITION,602.5,1236,100.0%
DROP,605.8,1242,100.0%
TRANSITION,606.7,1244,100.0%
BREAKDOWN,610.2,1251,100.0%
DROP,611.0,1253,100.0%
TRANSITION,611.0,1253,100.0%
TRANSITION,615.3,1262,100.0%
DROP,616.2,1264,100.0%
BREAKDOWN,618.2,1268,66.4%
TRANSITION,619.6,1271,100.0%
DROP,621.5,1275,100.0%
TRANSITION,623.9,1279,87.7%
BREAKDOWN,626.3,1284,100.0%
DROP,626.7,1285,55.5%
TRANSITION,628.2,1288,100.0%
DROP,632.0,1296,100.0%
TRANSITION,632.5,1297,100.0%
BREAKDOWN,634.4,1301,100.0%
TRANSITION,636.7,1306,100.0%
DROP,637.2,1307,100.0%
TRANSITION,641.0,1315,100.0%
DROP,642.4,1317,86.9%
BREAKDOWN,642.5,1318,98.4%
TRANSITION,645.3,1323,100.0%
DROP,647.7,1328,100.0%
TRANSITION,649.6,1332,100.0%
BREAKDOWN,650.6,1334,100.0%
DROP,652.9,1339,68.2%
TRANSITION,653.9,1341,64.5%
DROP,658.1,1350,100.0%
TRANSITION,658.2,1350,100.0%
BREAKDOWN,658.7,1351,100.0%
TRANSITION,662.5,1359,100.0%
DROP,663.4,1360,100.0%
TRANSITION,666.7,1367,100.0%
BREAKDOWN,666.8,1367,100.0%
DROP,668.6,1371,93.5%
