Type,Time (s),Beat,Confidence
DROP,0.1,0,100.0%
BREAKDOWN,0.2,0,64.6%
TRANSITION,0.2,0,63.1%
DROP,5.3,11,73.4%
BREAKDOWN,8.2,18,100.0%
TRANSITION,9.6,21,51.2%
DROP,10.9,24,60.4%
TRANSITION,14.7,32,54.2%
DROP,16.0,34,53.3%
BREAKDOWN,16.7,36,100.0%
DROP,21.3,46,61.8%
TRANSITION,21.8,47,50.9%
BREAKDOWN,25.1,54,100.0%
DROP,26.9,58,52.7%
TRANSITION,27.4,59,50.6%
DROP,32.0,69,57.2%
BREAKDOWN,33.1,71,78.5%
TRANSITION,34.0,73,50.5%
DROP,37.4,80,95.8%
TRANSITION,39.6,85,64.5%
BREAKDOWN,41.6,90,100.0%
DROP,42.4,91,52.3%
DROP,47.6,102,65.9%
TRANSITION,48.1,104,50.7%
BREAKDOWN,49.6,107,96.9%
DROP,53.2,115,56.0%
BREAKDOWN,58.0,125,100.0%
DROP,58.3,126,58.3%
TRANSITION,60.3,130,51.0%
DROP,63.6,137,62.7%
BREAKDOWN,66.0,142,99.5%
DROP,69.3,149,73.9%
TRANSITION,69.7,150,58.9%
TRANSITION,73.9,159,61.1%
BREAKDOWN,74.2,160,71.0%
DROP,74.4,160,53.6%
TRANSITION,78.1,168,61.7%
DROP,80.0,172,52.5%
TRANSITION,82.4,177,100.0%
BREAKDOWN,82.4,178,100.0%
TRANSITION,86.6,186,60.6%
DROP,90.4,195,57.0%
BREAKDOWN,90.4,195,87.0%
TRANSITION,90.6,195,52.3%
TRANSITION,94.6,204,100.0%
DROP,97.4,210,57.5%
BREAKDOWN,98.6,212,80.1%
TRANSITION,98.8,213,60.5%
DROP,103.1,222,51.1%
TRANSITION,103.1,222,100.0%
BREAKDOWN,106.9,230,61.4%
TRANSITION,107.3,231,100.0%
DROP,109.6,236,53.4%
TRANSITION,111.5,240,54.5%
BREAKDOWN,114.9,247,75.7%
TRANSITION,115.8,249,95.0%
TRANSITION,120.0,258,88.5%
BREAKDOWN,123.1,265,79.9%
DROP,123.4,266,90.3%
TRANSITION,124.0,267,50.5%
TRANSITION,128.0,276,90.1%
DROP,130.2,280,56.1%
BREAKDOWN,131.3,283,100.0%
TRANSITION,132.7,286,60.2%
DROP,135.4,292,82.3%
TRANSITION,137.4,296,87.3%
BREAKDOWN,139.3,300,100.0%
DROP,140.6,303,53.9%
TRANSITION,141.6,305,88.8%
TRANSITION,145.8,314,80.0%
DROP,146.3,315,52.6%
BREAKDOWN,147.5,318,100.0%
TRANSITION,150.0,323,80.0%
DROP,151.9,327,54.0%
TRANSITION,154.3,332,77.3%
BREAKDOWN,155.7,335,79.2%
DROP,157.5,339,50.3%
TRANSITION,158.5,341,80.3%
TRANSITION,162.7,350,58.0%
DROP,163.2,351,51.5%
BREAKDOWN,163.7,353,100.0%
TRANSITION,167.0,360,55.0%
DROP,168.8,364,57.0%
TRANSITION,171.2,369,63.5%
BREAKDOWN,171.9,370,99.2%
DROP,174.4,376,51.0%
