Type,Time (s),Beat,Confidence
DROP,0.3,1,100.0%
TRANSITION,0.3,1,56.5%
BREAKDOWN,0.4,1,98.1%
TRANSITION,4.7,10,99.7%
DROP,5.6,11,70.6%
BREAKDOWN,8.5,18,100.0%
TRANSITION,9.0,18,52.7%
DROP,10.8,22,57.6%
TRANSITION,13.3,27,92.7%
DROP,16.2,33,76.4%
BREAKDOWN,16.7,34,100.0%
TRANSITION,17.6,36,92.6%
DROP,21.4,44,51.3%
TRANSITION,21.9,45,51.2%
BREAKDOWN,24.9,51,100.0%
TRANSITION,26.2,54,54.6%
DROP,26.7,55,50.5%
TRANSITION,30.6,63,77.9%
DROP,32.0,66,69.8%
BREAKDOWN,33.0,68,100.0%
TRANSITION,34.9,72,81.5%
DROP,37.2,76,55.1%
TRANSITION,39.2,80,52.2%
BREAKDOWN,41.2,84,63.1%
DROP,42.6,87,80.1%
TRANSITION,43.5,89,55.1%
DROP,47.8,98,53.2%
TRANSITION,47.9,98,58.7%
BREAKDOWN,49.3,101,100.0%
TRANSITION,52.2,107,51.6%
DROP,53.1,109,70.0%
TRANSITION,56.5,116,55.3%
BREAKDOWN,57.5,118,70.5%
DROP,58.4,120,53.0%
TRANSITION,60.8,125,55.3%
DROP,63.7,131,55.7%
TRANSITION,65.1,134,53.6%
BREAKDOWN,65.7,135,100.0%
DROP,68.9,141,50.7%
TRANSITION,69.5,142,56.2%
TRANSITION,73.7,151,55.8%
BREAKDOWN,73.8,151,100.0%
DROP,74.2,152,81.9%
TRANSITION,78.1,160,50.2%
DROP,79.5,163,60.1%
BREAKDOWN,82.0,168,58.6%
TRANSITION,82.4,169,98.8%
DROP,84.8,174,56.0%
TRANSITION,86.7,178,100.0%
DROP,90.0,185,57.7%
BREAKDOWN,90.1,185,100.0%
TRANSITION,91.0,187,52.6%
DROP,95.3,196,57.1%
TRANSITION,95.4,196,100.0%
BREAKDOWN,98.3,202,59.9%
TRANSITION,99.7,204,94.1%
DROP,100.6,206,67.6%
TRANSITION,104.0,213,52.5%
DROP,105.9,217,55.9%
BREAKDOWN,106.5,218,100.0%
DROP,110.9,227,67.4%
BREAKDOWN,114.6,235,100.0%
DROP,116.0,238,97.3%
DROP,121.0,248,60.3%
BREAKDOWN,122.8,252,51.8%
TRANSITION,123.2,253,60.0%
DROP,126.1,259,51.6%
TRANSITION,127.5,262,93.6%
BREAKDOWN,130.9,269,100.0%
DROP,131.3,269,62.2%
TRANSITION,131.9,270,100.0%
TRANSITION,136.2,279,51.1%
DROP,136.6,280,53.9%
BREAKDOWN,139.1,285,59.3%
TRANSITION,140.5,288,50.2%
DROP,141.9,291,75.5%
TRANSITION,144.8,297,55.6%
DROP,147.2,302,78.6%
BREAKDOWN,147.3,302,100.0%
TRANSITION,149.1,306,54.5%
DROP,152.5,313,67.7%
TRANSITION,153.4,315,51.7%
BREAKDOWN,155.4,319,62.7%
DROP,157.7,323,61.7%
TRANSITION,157.8,324,81.2%
TRANSITION,162.1,332,67.0%
DROP,163.0,334,53.1%
BREAKDOWN,163.6,335,100.0%
TRANSITION,166.4,341,56.0%
DROP,168.3,345,83.9%
TRANSITION,170.7,350,51.9%
BREAKDOWN,171.7,352,100.0%
DROP,173.6,356,71.3%
TRANSITION,175.1,359,59.0%
DROP,178.9,367,70.3%
TRANSITION,179.4,368,60.0%
BREAKDOWN,179.9,369,100.0%
TRANSITION,183.7,377,56.2%
DROP,184.1,378,58.9%
BREAKDOWN,188.1,386,78.1%
DROP,189.2,388,51.3%
DROP,194.4,399,70.7%
BREAKDOWN,196.2,402,75.2%
DROP,199.5,409,85.9%
TRANSITION,200.0,410,81.0%
TRANSITION,204.3,419,57.9%
BREAKDOWN,204.4,419,100.0%
DROP,204.8,420,74.4%
TRANSITION,208.6,428,56.4%
DROP,210.0,431,60.3%
BREAKDOWN,212.5,436,80.3%
TRANSITION,213.0,437,51.5%
DROP,215.3,442,53.4%
TRANSITION,217.3,446,99.5%
DROP,220.6,452,53.8%
BREAKDOWN,220.7,453,100.0%
TRANSITION,221.6,454,58.9%
DROP,225.9,463,61.3%
TRANSITION,225.9,463,54.9%
BREAKDOWN,228.9,469,94.8%
TRANSITION,230.3,472,100.0%
DROP,231.2,474,73.2%
TRANSITION,234.6,481,61.6%
DROP,236.4,485,87.1%
BREAKDOWN,237.0,486,100.0%
TRANSITION,238.9,490,51.3%
DROP,241.7,496,74.0%
TRANSITION,243.2,499,53.1%
BREAKDOWN,245.2,503,100.0%
DROP,246.8,506,57.6%
DROP,251.8,516,89.3%
BREAKDOWN,253.3,520,71.5%
TRANSITION,256.6,526,54.8%
DROP,256.8,527,75.3%
TRANSITION,261.4,536,56.7%
BREAKDOWN,261.5,536,83.3%
DROP,261.9,537,70.2%
TRANSITION,265.8,545,56.0%
DROP,267.2,548,51.4%
BREAKDOWN,269.7,553,89.6%
TRANSITION,270.1,554,58.0%
DROP,272.5,559,68.3%
TRANSITION,274.4,563,100.0%
DROP,277.7,570,65.0%
BREAKDOWN,277.8,570,100.0%
TRANSITION,278.7,572,50.5%
DROP,283.0,580,65.3%
TRANSITION,283.0,580,57.7%
BREAKDOWN,286.0,586,97.3%
TRANSITION,287.3,589,52.1%
DROP,288.3,591,80.6%
TRANSITION,291.7,598,98.7%
DROP,293.6,602,67.0%
BREAKDOWN,294.1,603,52.0%
TRANSITION,296.0,607,57.3%
DROP,298.8,613,77.1%
TRANSITION,300.3,616,52.5%
BREAKDOWN,302.3,620,100.0%
DROP,304.1,624,78.9%
TRANSITION,304.6,625,51.4%
TRANSITION,309.0,634,76.1%
DROP,309.2,634,56.9%
BREAKDOWN,310.5,637,71.2%
DROP,314.2,644,62.3%
BREAKDOWN,318.6,653,72.1%
DROP,319.3,655,75.0%
TRANSITION,322.9,662,52.8%
DROP,324.3,665,52.4%
BREAKDOWN,326.8,670,99.9%
TRANSITION,327.2,671,61.0%
DROP,329.6,676,68.3%
TRANSITION,331.5,680,56.8%
DROP,334.9,687,51.3%
BREAKDOWN,334.9,687,100.0%
TRANSITION,335.8,689,54.3%
DROP,340.1,698,52.5%
TRANSITION,340.1,698,53.0%
BREAKDOWN,343.1,704,93.1%
TRANSITION,344.5,707,84.7%
DROP,345.4,708,63.3%
