Type,Time (s),Beat,Confidence
DROP,0.1,0,100.0%
TRANSITION,0.1,0,100.0%
BREAKDOWN,0.2,0,72.2%
TRANSITION,4.3,9,100.0%
DROP,5.3,11,100.0%
BREAKDOWN,8.2,18,55.7%
TRANSITION,8.6,18,100.0%
DROP,10.4,22,59.4%
TRANSITION,12.8,28,89.2%
DROP,15.7,34,63.0%
BREAKDOWN,16.3,35,78.6%
TRANSITION,17.1,37,76.4%
DROP,20.9,45,92.7%
TRANSITION,21.4,46,100.0%
BREAKDOWN,24.3,52,54.1%
TRANSITION,25.6,55,100.0%
DROP,26.1,56,100.0%
TRANSITION,29.9,64,100.0%
DROP,31.3,67,55.7%
BREAKDOWN,32.8,71,86.0%
TRANSITION,34.1,73,53.9%
DROP,36.9,80,66.7%
BREAKDOWN,40.8,88,63.7%
DROP,45.4,98,58.8%
TRANSITION,45.4,98,100.0%
BREAKDOWN,48.9,105,52.4%
TRANSITION,49.7,107,86.4%
DROP,50.6,109,100.0%
TRANSITION,53.9,116,87.2%
DROP,55.8,120,100.0%
BREAKDOWN,56.9,123,54.7%
TRANSITION,58.2,125,100.0%
DROP,61.0,131,96.0%
TRANSITION,62.5,134,100.0%
BREAKDOWN,64.9,140,68.6%
DROP,66.2,143,73.1%
TRANSITION,66.7,144,100.0%
TRANSITION,71.0,153,100.0%
DROP,71.4,154,78.8%
BREAKDOWN,73.0,157,66.6%
TRANSITION,75.7,163,100.0%
DROP,76.6,165,60.7%
TRANSITION,79.9,172,52.3%
BREAKDOWN,81.1,175,55.4%
DROP,81.8,176,100.0%
TRANSITION,84.0,181,53.3%
DROP,87.0,187,100.0%
TRANSITION,88.0,190,100.0%
BREAKDOWN,89.1,192,71.5%
DROP,92.2,198,55.5%
TRANSITION,92.2,199,51.0%
TRANSITION,96.5,208,100.0%
BREAKDOWN,97.1,209,62.7%
DROP,97.4,210,83.5%
TRANSITION,100.7,217,100.0%
DROP,102.6,221,99.5%
TRANSITION,104.8,226,56.3%
BREAKDOWN,105.1,226,57.7%
DROP,107.8,232,52.8%
TRANSITION,109.7,236,52.5%
DROP,113.5,244,56.5%
BREAKDOWN,113.5,244,88.4%
TRANSITION,114.2,246,50.3%
DROP,119.1,256,51.4%
TRANSITION,119.1,257,50.9%
BREAKDOWN,121.6,262,59.3%
TRANSITION,123.3,266,55.8%
DROP,125.7,271,56.8%
TRANSITION,128.6,277,59.6%
BREAKDOWN,129.6,279,78.4%
DROP,132.4,285,61.3%
TRANSITION,132.9,286,59.7%
TRANSITION,137.1,295,55.0%
DROP,137.6,296,56.4%
BREAKDOWN,137.7,297,57.3%
TRANSITION,141.4,304,100.0%
DROP,142.8,307,87.9%
TRANSITION,145.4,313,51.3%
BREAKDOWN,145.8,314,50.4%
DROP,148.0,319,60.4%
TRANSITION,149.4,322,100.0%
DROP,153.1,330,84.6%
TRANSITION,153.6,331,100.0%
BREAKDOWN,153.8,331,57.3%
TRANSITION,157.7,340,52.1%
DROP,158.3,341,53.2%
TRANSITION,161.7,348,100.0%
BREAKDOWN,161.8,348,57.8%
DROP,163.5,352,100.0%
TRANSITION,165.9,357,100.0%
DROP,169.2,364,56.8%
TRANSITION,170.2,366,67.8%
BREAKDOWN,170.2,367,71.5%
TRANSITION,174.4,376,50.4%
DROP,176.7,381,50.9%
BREAKDOWN,178.3,384,60.8%
TRANSITION,178.7,385,73.0%
TRANSITION,182.9,394,74.3%
DROP,184.3,397,58.6%
BREAKDOWN,186.3,401,77.5%
TRANSITION,187.2,403,58.3%
TRANSITION,191.4,412,59.0%
DROP,195.2,420,58.3%
BREAKDOWN,195.3,420,53.1%
TRANSITION,195.6,421,70.8%
TRANSITION,199.9,431,100.0%
DROP,200.4,432,96.2%
BREAKDOWN,203.4,438,66.1%
TRANSITION,204.2,440,100.0%
DROP,205.6,443,50.6%
TRANSITION,208.4,449,100.0%
DROP,210.8,454,50.5%
BREAKDOWN,211.9,456,50.6%
TRANSITION,212.5,458,56.7%
DROP,216.0,465,52.0%
TRANSITION,216.5,466,100.0%
BREAKDOWN,219.9,474,76.3%
TRANSITION,220.7,475,100.0%
DROP,221.2,476,69.6%
TRANSITION,224.8,484,55.4%
DROP,227.8,490,81.0%
BREAKDOWN,228.0,491,67.5%
TRANSITION,228.8,493,100.0%
TRANSITION,233.0,502,100.0%
DROP,233.5,503,91.9%
BREAKDOWN,236.0,508,60.4%
TRANSITION,237.1,510,54.3%
DROP,239.1,515,59.6%
TRANSITION,241.1,519,100.0%
BREAKDOWN,244.0,526,58.3%
DROP,244.8,527,53.4%
TRANSITION,245.3,528,100.0%
TRANSITION,249.3,537,52.6%
DROP,250.0,538,51.8%
BREAKDOWN,252.1,543,58.1%
TRANSITION,253.4,546,100.0%
DROP,255.2,550,91.3%
TRANSITION,257.6,555,60.5%
BREAKDOWN,260.5,561,69.8%
DROP,260.9,562,75.9%
TRANSITION,261.8,564,100.0%
TRANSITION,266.1,573,53.7%
DROP,266.5,574,51.8%
BREAKDOWN,268.5,578,73.2%
TRANSITION,270.1,582,51.9%
DROP,273.1,588,66.4%
TRANSITION,276.0,594,58.3%
BREAKDOWN,276.5,596,60.1%
DROP,278.8,600,51.9%
BREAKDOWN,285.1,614,59.2%
TRANSITION,287.3,619,97.2%
DROP,289.2,623,100.0%
TRANSITION,291.6,628,100.0%
BREAKDOWN,293.2,631,50.3%
DROP,294.4,634,50.7%
TRANSITION,295.6,637,53.4%
DROP,299.6,645,97.1%
TRANSITION,299.7,645,100.0%
BREAKDOWN,301.2,648,50.6%
TRANSITION,303.9,654,100.0%
DROP,305.3,657,100.0%
TRANSITION,307.9,663,51.5%
BREAKDOWN,309.2,666,53.9%
DROP,310.9,670,100.0%
TRANSITION,311.9,672,100.0%
TRANSITION,316.2,681,51.5%
DROP,316.6,682,65.2%
BREAKDOWN,317.7,684,56.4%
TRANSITION,320.2,690,51.9%
DROP,321.8,693,88.3%
TRANSITION,324.2,698,100.0%
BREAKDOWN,325.7,701,56.2%
DROP,327.0,704,96.5%
TRANSITION,328.4,707,100.0%
TRANSITION,332.5,716,68.2%
DROP,333.1,717,88.0%
BREAKDOWN,333.8,719,57.6%
TRANSITION,336.5,725,100.0%
DROP,338.3,729,100.0%
TRANSITION,340.7,734,100.0%
BREAKDOWN,341.8,736,62.1%
DROP,343.5,740,100.0%
TRANSITION,344.8,742,53.8%
DROP,349.2,752,60.8%
TRANSITION,350.4,755,56.2%
BREAKDOWN,350.7,755,90.4%
DROP,355.8,766,53.7%
TRANSITION,355.8,766,53.9%
BREAKDOWN,358.7,772,61.5%
TRANSITION,359.9,775,57.3%
DROP,361.5,778,55.6%
