Type,Time (s),Beat,Confidence
DROP,3.1,6,72.9%
DROP,11.5,24,100.0%
TRANSITION,11.6,24,92.9%
BREAKDOWN,11.6,24,100.0%
TRANSITION,15.9,33,100.0%
DROP,16.8,34,87.4%
BREAKDOWN,19.7,40,51.8%
TRANSITION,20.1,41,62.9%
DROP,22.0,45,76.5%
TRANSITION,24.4,50,100.0%
DROP,27.2,56,51.5%
BREAKDOWN,27.8,57,100.0%
TRANSITION,28.7,59,72.7%
DROP,32.5,67,100.0%
TRANSITION,33.0,68,100.0%
BREAKDOWN,35.9,74,100.0%
TRANSITION,37.3,76,99.8%
DROP,37.7,77,100.0%
TRANSITION,41.6,85,98.5%
DROP,43.4,89,100.0%
BREAKDOWN,44.0,90,100.0%
TRANSITION,45.9,94,76.4%
DROP,48.7,100,64.5%
TRANSITION,50.1,103,58.2%
BREAKDOWN,52.1,107,92.0%
DROP,53.9,111,50.5%
TRANSITION,54.4,112,88.6%
TRANSITION,58.7,120,58.7%
DROP,59.2,121,100.0%
BREAKDOWN,60.2,123,100.0%
TRANSITION,63.0,129,87.1%
DROP,64.4,132,81.1%
TRANSITION,67.3,138,100.0%
BREAKDOWN,68.3,140,100.0%
DROP,69.4,142,52.7%
TRANSITION,71.6,147,59.0%
DROP,74.5,153,50.9%
TRANSITION,75.9,156,100.0%
BREAKDOWN,76.4,157,63.6%
DROP,79.6,163,62.4%
TRANSITION,80.1,164,76.4%
TRANSITION,84.4,173,88.7%
BREAKDOWN,84.5,173,100.0%
DROP,84.7,174,55.2%
TRANSITION,88.5,181,62.9%
DROP,89.7,184,65.7%
TRANSITION,92.5,190,100.0%
BREAKDOWN,92.6,190,100.0%
DROP,94.9,195,100.0%
TRANSITION,96.8,199,100.0%
DROP,99.9,205,50.5%
BREAKDOWN,100.7,206,90.8%
TRANSITION,101.1,207,100.0%
DROP,104.9,215,58.7%
TRANSITION,105.4,216,100.0%
BREAKDOWN,108.8,223,100.0%
TRANSITION,109.7,225,91.8%
DROP,110.1,226,95.8%
TRANSITION,114.0,234,100.0%
DROP,115.1,236,56.3%
BREAKDOWN,116.9,240,100.0%
TRANSITION,118.2,242,81.5%
DROP,120.2,246,50.6%
TRANSITION,122.5,251,100.0%
BREAKDOWN,125.0,256,98.0%
DROP,125.4,257,100.0%
TRANSITION,126.6,260,58.7%
DROP,130.6,268,50.4%
TRANSITION,130.6,268,79.7%
BREAKDOWN,133.1,273,100.0%
TRANSITION,134.9,277,100.0%
DROP,136.8,281,100.0%
TRANSITION,139.2,285,94.8%
BREAKDOWN,141.2,290,100.0%
DROP,142.5,292,100.0%
TRANSITION,143.5,294,66.9%
TRANSITION,147.5,303,51.7%
DROP,148.2,304,100.0%
BREAKDOWN,149.3,306,68.0%
TRANSITION,151.6,311,61.3%
DROP,153.3,314,53.5%
TRANSITION,155.9,320,57.9%
BREAKDOWN,157.4,323,100.0%
DROP,158.3,325,58.6%
TRANSITION,160.1,328,100.0%
DROP,163.5,335,100.0%
TRANSITION,167.8,344,87.3%
BREAKDOWN,167.8,344,100.0%
DROP,168.7,346,60.5%
TRANSITION,172.1,353,97.7%
DROP,173.8,357,52.1%
BREAKDOWN,175.9,361,97.9%
TRANSITION,176.1,361,55.9%
DROP,179.2,367,53.0%
TRANSITION,181.8,373,60.5%
BREAKDOWN,184.0,377,100.0%
DROP,184.4,378,100.0%
TRANSITION,185.9,381,100.0%
DROP,189.7,389,69.0%
TRANSITION,190.1,390,96.4%
BREAKDOWN,192.1,394,92.7%
TRANSITION,194.4,399,99.3%
DROP,194.8,400,57.3%
TRANSITION,198.7,408,100.0%
DROP,200.1,410,100.0%
BREAKDOWN,200.2,411,100.0%
TRANSITION,203.0,416,73.5%
DROP,205.4,421,78.4%
TRANSITION,207.3,425,100.0%
BREAKDOWN,208.3,427,100.0%
DROP,210.4,431,51.0%
TRANSITION,211.6,434,88.8%
DROP,215.8,442,52.4%
TRANSITION,215.9,443,100.0%
BREAKDOWN,216.4,444,100.0%
TRANSITION,219.9,451,54.8%
DROP,221.6,454,64.8%
BREAKDOWN,224.5,460,95.5%
TRANSITION,224.9,461,63.8%
DROP,226.8,465,68.6%
TRANSITION,229.0,470,52.4%
DROP,232.0,476,100.0%
BREAKDOWN,232.6,477,100.0%
TRANSITION,233.1,478,100.0%
TRANSITION,237.1,486,52.4%
DROP,237.3,487,67.4%
BREAKDOWN,240.7,494,84.8%
TRANSITION,242.1,496,100.0%
DROP,242.4,497,68.4%
TRANSITION,246.4,505,100.0%
DROP,247.8,508,100.0%
BREAKDOWN,248.8,510,100.0%
TRANSITION,250.6,514,60.0%
DROP,253.0,519,66.4%
TRANSITION,254.9,523,100.0%
BREAKDOWN,256.9,527,100.0%
DROP,258.0,529,53.0%
TRANSITION,259.2,532,85.9%
DROP,263.1,539,57.1%
TRANSITION,263.5,540,100.0%
BREAKDOWN,265.0,543,90.1%
TRANSITION,267.6,549,64.8%
DROP,268.2,550,100.0%
TRANSITION,271.6,557,100.0%
BREAKDOWN,273.1,560,100.0%
DROP,273.9,562,100.0%
TRANSITION,275.9,566,100.0%
DROP,279.7,574,100.0%
TRANSITION,280.2,575,87.7%
BREAKDOWN,281.2,577,100.0%
TRANSITION,284.4,583,59.3%
DROP,284.9,584,67.9%
BREAKDOWN,289.3,593,82.7%
TRANSITION,289.7,594,100.0%
DROP,290.1,595,64.1%
TRANSITION,294.0,603,100.0%
DROP,295.4,606,100.0%
BREAKDOWN,297.4,610,100.0%
TRANSITION,298.3,612,66.8%
DROP,300.6,617,100.0%
TRANSITION,302.6,620,100.0%
