Type,Time (s),Beat,Confidence
DROP,0.0,0,69.0%
TRANSITION,0.0,0,100.0%
BREAKDOWN,0.1,0,100.0%
TRANSITION,4.2,9,100.0%
DROP,5.2,11,72.5%
BREAKDOWN,8.1,17,100.0%
TRANSITION,8.5,18,100.0%
DROP,10.4,22,100.0%
TRANSITION,12.7,27,100.0%
DROP,15.6,34,100.0%
BREAKDOWN,16.1,35,100.0%
TRANSITION,17.0,37,100.0%
DROP,20.8,45,100.0%
TRANSITION,21.2,46,84.8%
BREAKDOWN,24.1,52,69.7%
TRANSITION,25.5,55,65.7%
DROP,26.0,56,100.0%
TRANSITION,30.0,65,94.0%
DROP,31.2,67,100.0%
BREAKDOWN,32.2,69,100.0%
TRANSITION,34.0,73,100.0%
DROP,36.3,78,94.2%
TRANSITION,38.3,82,100.0%
BREAKDOWN,40.2,87,100.0%
DROP,41.5,89,100.0%
TRANSITION,42.5,92,100.0%
DROP,46.7,101,100.0%
TRANSITION,46.8,101,100.0%
BREAKDOWN,48.3,104,100.0%
TRANSITION,51.0,110,100.0%
DROP,51.9,112,100.0%
TRANSITION,55.3,119,95.5%
BREAKDOWN,56.3,121,100.0%
DROP,57.1,123,100.0%
TRANSITION,59.5,128,69.2%
DROP,62.3,134,91.2%
TRANSITION,63.8,137,60.9%
BREAKDOWN,64.3,138,100.0%
DROP,67.5,145,100.0%
TRANSITION,68.0,146,100.0%
TRANSITION,72.3,156,100.0%
BREAKDOWN,72.4,156,100.0%
DROP,72.7,157,100.0%
TRANSITION,76.5,165,100.0%
DROP,77.9,168,100.0%
BREAKDOWN,80.4,173,100.0%
TRANSITION,80.8,174,100.0%
DROP,83.1,179,100.0%
TRANSITION,85.0,183,100.0%
DROP,88.3,190,83.8%
BREAKDOWN,88.4,190,53.0%
TRANSITION,89.3,192,100.0%
TRANSITION,93.3,201,50.5%
DROP,94.2,203,89.2%
BREAKDOWN,96.5,208,100.0%
TRANSITION,98.0,211,62.1%
DROP,99.9,215,76.6%
TRANSITION,102.1,220,71.9%
BREAKDOWN,104.5,225,75.6%
DROP,105.6,227,60.7%
TRANSITION,106.5,229,51.7%
DROP,111.2,240,71.1%
TRANSITION,111.3,240,61.4%
BREAKDOWN,112.5,242,63.8%
TRANSITION,115.3,248,59.4%
DROP,116.9,252,76.3%
TRANSITION,119.8,258,67.0%
BREAKDOWN,120.5,260,57.3%
DROP,122.3,263,81.8%
TRANSITION,123.8,267,100.0%
DROP,127.5,275,88.8%
TRANSITION,128.0,276,100.0%
BREAKDOWN,128.6,277,100.0%
TRANSITION,132.1,284,53.0%
DROP,132.7,286,80.9%
TRANSITION,136.1,293,100.0%
BREAKDOWN,136.6,294,100.0%
DROP,137.9,297,100.0%
TRANSITION,140.3,302,100.0%
DROP,143.1,308,100.0%
TRANSITION,144.3,311,54.8%
BREAKDOWN,144.6,311,100.0%
DROP,148.3,319,50.9%
TRANSITION,148.4,319,100.0%
TRANSITION,152.6,329,100.0%
BREAKDOWN,152.7,329,100.0%
DROP,153.5,331,61.0%
TRANSITION,156.6,337,51.3%
DROP,158.7,342,100.0%
TRANSITION,160.6,346,100.0%
BREAKDOWN,160.7,346,53.2%
DROP,163.9,353,90.7%
TRANSITION,164.9,355,100.0%
BREAKDOWN,168.7,363,98.9%
TRANSITION,168.9,364,55.5%
DROP,169.1,364,100.0%
TRANSITION,172.9,372,100.0%
DROP,174.3,375,82.6%
BREAKDOWN,176.8,381,100.0%
TRANSITION,177.2,382,100.0%
DROP,179.5,387,72.1%
TRANSITION,181.4,391,100.0%
DROP,184.7,398,73.3%
BREAKDOWN,184.8,398,100.0%
TRANSITION,185.7,400,100.0%
DROP,189.9,409,100.0%
TRANSITION,189.9,409,100.0%
BREAKDOWN,192.8,415,100.0%
TRANSITION,194.2,418,94.5%
DROP,195.1,420,100.0%
TRANSITION,198.4,427,100.0%
DROP,200.3,431,100.0%
BREAKDOWN,200.9,432,100.0%
TRANSITION,202.7,436,100.0%
DROP,205.5,442,50.3%
TRANSITION,206.9,446,58.2%
BREAKDOWN,208.9,450,100.0%
DROP,210.7,454,95.2%
TRANSITION,211.2,455,100.0%
TRANSITION,215.4,464,100.0%
DROP,215.9,465,81.4%
BREAKDOWN,216.9,467,100.0%
TRANSITION,219.7,473,100.0%
DROP,221.1,476,100.0%
TRANSITION,223.7,482,56.5%
BREAKDOWN,225.0,484,100.0%
DROP,226.3,487,98.5%
TRANSITION,227.7,490,100.0%
DROP,231.5,498,56.7%
TRANSITION,232.0,500,100.0%
BREAKDOWN,233.0,502,59.8%
TRANSITION,236.0,508,53.9%
DROP,236.7,510,59.7%
TRANSITION,240.0,517,100.0%
BREAKDOWN,241.0,519,100.0%
DROP,243.5,524,57.8%
TRANSITION,244.6,527,51.8%
DROP,248.8,536,54.1%
BREAKDOWN,249.0,536,54.4%
TRANSITION,249.2,537,61.9%
TRANSITION,253.2,545,64.5%
DROP,254.5,548,53.1%
BREAKDOWN,257.1,554,50.3%
TRANSITION,257.7,555,57.7%
DROP,260.5,561,72.3%
TRANSITION,261.7,564,53.7%
BREAKDOWN,265.1,571,59.4%
DROP,266.2,573,68.3%
BREAKDOWN,273.2,588,97.5%
DROP,278.5,600,50.3%
BREAKDOWN,281.2,605,70.0%
DROP,286.0,616,52.9%
BREAKDOWN,289.7,624,52.5%
DROP,294.1,633,69.8%
BREAKDOWN,298.3,642,61.6%
DROP,299.7,645,60.1%
TRANSITION,302.3,651,100.0%
DROP,305.2,657,100.0%
BREAKDOWN,306.5,660,51.9%
TRANSITION,306.6,660,100.0%
DROP,310.4,668,61.5%
TRANSITION,310.6,669,61.1%
BREAKDOWN,314.5,677,71.7%
TRANSITION,314.7,678,100.0%
DROP,315.6,680,100.0%
TRANSITION,318.9,687,100.0%
DROP,320.8,691,87.2%
BREAKDOWN,322.5,694,53.2%
TRANSITION,322.9,695,54.0%
DROP,326.0,702,100.0%
TRANSITION,326.9,704,100.0%
BREAKDOWN,330.5,712,60.3%
DROP,331.2,713,80.5%
TRANSITION,331.2,713,100.0%
TRANSITION,335.2,722,60.1%
DROP,336.3,724,100.0%
BREAKDOWN,338.8,730,100.0%
TRANSITION,339.2,730,100.0%
DROP,341.5,735,74.2%
TRANSITION,343.5,740,100.0%
DROP,346.7,747,100.0%
BREAKDOWN,346.8,747,100.0%
TRANSITION,347.5,748,52.2%
TRANSITION,351.5,757,100.0%
DROP,351.9,758,100.0%
BREAKDOWN,354.9,764,100.0%
TRANSITION,355.8,766,100.0%
DROP,357.1,769,100.0%
TRANSITION,359.8,775,61.7%
DROP,362.8,781,100.0%
BREAKDOWN,362.9,781,100.0%
TRANSITION,363.8,783,100.0%
DROP,368.0,792,82.3%
TRANSITION,368.0,792,100.0%
BREAKDOWN,370.9,799,100.0%
TRANSITION,372.1,801,51.1%
DROP,373.2,804,85.3%
TRANSITION,376.1,810,100.0%
DROP,378.4,815,65.9%
BREAKDOWN,379.0,816,100.0%
TRANSITION,380.3,819,100.0%
DROP,383.6,826,100.0%
TRANSITION,384.3,828,51.9%
BREAKDOWN,387.0,833,100.0%
TRANSITION,388.4,836,100.0%
DROP,388.8,837,100.0%
TRANSITION,393.1,846,100.0%
DROP,394.0,848,100.0%
BREAKDOWN,395.0,851,100.0%
TRANSITION,397.3,856,96.4%
DROP,399.2,860,64.6%
TRANSITION,401.6,865,100.0%
BREAKDOWN,403.1,868,100.0%
DROP,404.4,871,100.0%
TRANSITION,405.8,874,72.3%
DROP,409.6,882,86.2%
TRANSITION,410.1,883,94.5%
BREAKDOWN,411.1,885,100.0%
TRANSITION,414.3,892,100.0%
DROP,414.8,893,100.0%
TRANSITION,418.6,901,100.0%
BREAKDOWN,419.1,902,100.0%
DROP,420.0,904,100.0%
TRANSITION,423.3,912,100.0%
DROP,425.2,916,78.4%
BREAKDOWN,427.2,920,100.0%
TRANSITION,427.5,921,71.8%
DROP,430.4,927,71.0%
TRANSITION,431.8,930,96.6%
BREAKDOWN,435.2,937,100.0%
DROP,435.6,938,100.0%
TRANSITION,436.1,939,100.0%
TRANSITION,440.3,948,54.7%
DROP,440.8,949,78.9%
BREAKDOWN,443.2,954,100.0%
TRANSITION,444.6,957,100.0%
DROP,446.0,960,100.0%
TRANSITION,448.8,966,100.0%
DROP,451.2,972,81.8%
BREAKDOWN,451.2,972,70.2%
TRANSITION,453.1,976,100.0%
DROP,457.3,985,51.4%
BREAKDOWN,459.3,989,89.5%
DROP,462.5,996,62.1%
BREAKDOWN,467.3,1006,67.6%
DROP,467.7,1007,66.4%
DROP,473.4,1019,64.1%
BREAKDOWN,475.3,1024,62.6%
DROP,480.4,1035,55.1%
BREAKDOWN,483.4,1041,87.8%
TRANSITION,483.8,1042,100.0%
DROP,485.6,1046,100.0%
TRANSITION,488.0,1051,100.0%
DROP,490.8,1057,92.4%
BREAKDOWN,491.4,1058,100.0%
TRANSITION,492.1,1060,58.9%
DROP,496.0,1068,71.1%
TRANSITION,496.1,1068,100.0%
BREAKDOWN,499.4,1075,100.0%
TRANSITION,500.3,1077,100.0%
DROP,501.2,1079,65.9%
TRANSITION,504.3,1086,51.2%
DROP,506.4,1090,100.0%
BREAKDOWN,507.5,1093,100.0%
TRANSITION,508.4,1095,100.0%
DROP,511.6,1102,100.0%
TRANSITION,512.6,1104,100.0%
BREAKDOWN,515.5,1110,100.0%
TRANSITION,516.6,1112,65.2%
DROP,516.8,1113,100.0%
TRANSITION,520.6,1121,100.0%
DROP,521.9,1124,62.5%
BREAKDOWN,523.5,1127,52.8%
TRANSITION,524.9,1130,100.0%
DROP,527.2,1135,100.0%
TRANSITION,528.9,1139,56.1%
BREAKDOWN,531.6,1145,100.0%
DROP,532.4,1146,70.1%
TRANSITION,532.9,1148,100.0%
TRANSITION,537.2,1157,100.0%
DROP,537.6,1158,100.0%
BREAKDOWN,539.6,1162,100.0%
TRANSITION,541.2,1165,67.6%
DROP,542.8,1169,100.0%
TRANSITION,545.2,1174,100.0%
BREAKDOWN,547.6,1179,100.0%
DROP,548.0,1180,59.8%
TRANSITION,549.5,1183,100.0%
DROP,553.2,1191,70.6%
TRANSITION,553.7,1192,100.0%
BREAKDOWN,555.7,1196,100.0%
TRANSITION,558.0,1201,100.0%
DROP,558.4,1202,100.0%
TRANSITION,562.0,1210,54.7%
DROP,563.6,1214,88.2%
BREAKDOWN,563.7,1214,100.0%
TRANSITION,566.0,1219,100.0%
DROP,568.8,1225,100.0%
TRANSITION,570.2,1228,100.0%
BREAKDOWN,571.7,1231,100.0%
DROP,574.5,1237,88.2%
TRANSITION,574.5,1237,100.0%
TRANSITION,578.7,1246,99.5%
DROP,579.7,1248,100.0%
BREAKDOWN,579.8,1248,100.0%
TRANSITION,583.0,1255,100.0%
DROP,584.8,1259,54.5%
TRANSITION,587.2,1264,74.0%
BREAKDOWN,587.8,1266,100.0%
DROP,590.0,1271,61.0%
TRANSITION,591.5,1274,98.1%
DROP,595.2,1282,100.0%
TRANSITION,595.8,1283,100.0%
BREAKDOWN,595.8,1283,56.7%
TRANSITION,600.0,1292,100.0%
DROP,600.4,1293,90.2%
BREAKDOWN,603.8,1300,100.0%
TRANSITION,604.3,1301,100.0%
DROP,605.6,1304,100.0%
TRANSITION,608.5,1310,100.0%
DROP,610.8,1315,62.7%
BREAKDOWN,611.9,1318,100.0%
TRANSITION,612.8,1319,100.0%
DROP,616.0,1326,100.0%
TRANSITION,617.0,1329,100.0%
BREAKDOWN,619.9,1335,100.0%
DROP,621.2,1338,100.0%
TRANSITION,621.2,1338,100.0%
TRANSITION,625.5,1347,98.6%
DROP,626.4,1349,100.0%
BREAKDOWN,627.9,1352,100.0%
TRANSITION,629.7,1356,70.9%
DROP,631.6,1360,100.0%
TRANSITION,634.0,1365,100.0%
