Type,Time (s),Beat,Confidence
DROP,0.1,0,100.0%
TRANSITION,0.1,0,88.1%
BREAKDOWN,0.2,0,94.4%
TRANSITION,4.3,9,87.3%
DROP,5.3,11,60.3%
BREAKDOWN,8.2,18,100.0%
TRANSITION,8.6,18,69.9%
DROP,10.4,22,69.5%
TRANSITION,12.8,28,82.3%
DROP,15.6,34,54.6%
BREAKDOWN,16.6,36,76.0%
TRANSITION,17.0,37,70.8%
DROP,20.8,45,60.2%
TRANSITION,21.2,46,87.3%
BREAKDOWN,24.6,53,100.0%
TRANSITION,25.5,55,72.6%
DROP,25.9,56,51.3%
TRANSITION,29.7,64,85.1%
DROP,31.1,67,73.5%
BREAKDOWN,33.0,71,52.1%
TRANSITION,33.9,73,73.0%
DROP,36.3,78,52.3%
TRANSITION,38.2,82,91.0%
BREAKDOWN,41.1,88,100.0%
DROP,41.4,89,69.9%
TRANSITION,42.4,91,76.0%
DROP,46.6,100,61.5%
TRANSITION,46.6,100,87.4%
BREAKDOWN,49.5,107,74.8%
TRANSITION,50.8,109,87.1%
DROP,51.8,111,67.9%
TRANSITION,55.1,119,85.4%
DROP,57.4,124,64.2%
BREAKDOWN,57.5,124,100.0%
TRANSITION,59.3,128,84.5%
DROP,63.0,136,66.7%
TRANSITION,63.5,137,81.9%
BREAKDOWN,65.5,141,78.0%
TRANSITION,67.7,146,76.4%
DROP,68.7,148,56.8%
TRANSITION,72.0,155,89.2%
DROP,73.8,159,54.1%
BREAKDOWN,73.9,159,100.0%
TRANSITION,76.2,164,78.6%
DROP,79.0,170,65.1%
TRANSITION,80.4,173,88.6%
BREAKDOWN,81.9,176,100.0%
DROP,84.1,181,50.2%
TRANSITION,84.6,182,63.5%
TRANSITION,88.9,191,84.4%
DROP,89.3,192,50.0%
BREAKDOWN,90.1,194,52.5%
TRANSITION,93.1,200,77.7%
DROP,94.9,204,50.3%
TRANSITION,97.3,210,82.5%
BREAKDOWN,98.3,212,71.7%
DROP,100.6,217,62.7%
TRANSITION,101.5,219,83.9%
TRANSITION,105.8,228,93.6%
DROP,106.2,229,66.8%
BREAKDOWN,106.3,229,100.0%
TRANSITION,110.0,237,95.1%
DROP,111.9,241,67.0%
TRANSITION,114.2,246,84.2%
BREAKDOWN,114.3,246,80.9%
DROP,117.5,253,64.4%
TRANSITION,118.4,255,91.6%
DROP,122.7,264,54.9%
TRANSITION,122.7,264,89.1%
BREAKDOWN,122.7,264,100.0%
TRANSITION,126.9,273,81.5%
DROP,127.8,275,64.6%
BREAKDOWN,130.8,282,100.0%
TRANSITION,131.1,282,76.2%
DROP,133.4,287,57.3%
TRANSITION,135.3,291,72.7%
DROP,138.6,298,51.9%
BREAKDOWN,138.9,299,53.8%
TRANSITION,139.6,301,79.2%
DROP,144.5,311,57.2%
BREAKDOWN,147.1,317,55.5%
DROP,150.5,324,55.6%
BREAKDOWN,155.2,334,54.8%
DROP,156.5,337,51.4%
DROP,161.7,348,53.5%
BREAKDOWN,165.1,356,55.5%
DROP,167.4,360,70.1%
DROP,173.7,374,62.7%
BREAKDOWN,178.1,383,63.1%
DROP,180.0,388,54.1%
TRANSITION,184.2,397,77.6%
DROP,185.1,399,100.0%
BREAKDOWN,186.1,401,62.3%
TRANSITION,188.2,405,51.7%
DROP,190.2,410,75.7%
TRANSITION,192.2,414,93.5%
BREAKDOWN,194.1,418,89.1%
DROP,195.4,421,87.2%
TRANSITION,196.4,423,72.7%
DROP,200.6,432,85.9%
TRANSITION,202.0,435,71.7%
BREAKDOWN,202.6,436,97.1%
DROP,205.8,443,87.7%
TRANSITION,206.2,444,51.9%
TRANSITION,210.5,453,51.7%
BREAKDOWN,210.9,454,62.9%
DROP,210.9,454,66.9%
TRANSITION,214.7,462,63.0%
DROP,216.1,465,52.5%
TRANSITION,218.9,471,68.2%
BREAKDOWN,219.0,472,78.6%
DROP,221.2,476,100.0%
TRANSITION,223.1,480,59.5%
DROP,226.4,488,62.4%
BREAKDOWN,227.0,489,71.1%
TRANSITION,227.4,490,77.8%
DROP,231.6,499,83.0%
TRANSITION,231.6,499,50.4%
BREAKDOWN,235.4,507,88.3%
TRANSITION,235.8,508,54.0%
DROP,237.2,511,75.0%
DROP,242.8,523,73.7%
BREAKDOWN,243.9,525,50.7%
DROP,248.9,536,74.6%
TRANSITION,249.0,536,60.5%
BREAKDOWN,251.9,542,100.0%
TRANSITION,253.2,545,64.2%
DROP,254.1,547,64.3%
TRANSITION,257.2,554,54.8%
DROP,259.3,558,93.1%
BREAKDOWN,259.9,560,51.2%
TRANSITION,263.1,566,59.4%
DROP,264.5,570,54.7%
TRANSITION,267.3,576,60.4%
BREAKDOWN,267.9,577,52.6%
DROP,269.6,581,80.2%
TRANSITION,271.5,585,60.3%
DROP,274.8,592,86.5%
BREAKDOWN,276.4,595,53.6%
TRANSITION,278.1,599,65.2%
DROP,279.9,603,93.9%
TRANSITION,282.3,608,73.4%
BREAKDOWN,284.7,613,86.2%
DROP,285.1,614,50.7%
TRANSITION,286.5,617,85.7%
DROP,290.7,626,51.0%
BREAKDOWN,293.2,631,76.4%
DROP,297.3,640,76.0%
BREAKDOWN,301.6,650,73.5%
DROP,302.5,651,63.8%
TRANSITION,304.4,655,54.2%
DROP,308.6,664,90.3%
BREAKDOWN,309.8,667,58.6%
DROP,319.4,688,95.0%
TRANSITION,319.4,688,53.6%
BREAKDOWN,319.5,688,51.6%
TRANSITION,323.4,696,53.2%
DROP,324.5,699,68.2%
TRANSITION,327.4,705,84.9%
BREAKDOWN,327.5,705,57.5%
DROP,329.7,710,92.1%
TRANSITION,331.6,714,52.4%
DROP,334.9,721,51.2%
TRANSITION,335.6,723,52.9%
BREAKDOWN,335.7,723,59.9%
DROP,340.0,732,50.2%
TRANSITION,341.9,736,62.2%
BREAKDOWN,343.9,740,94.8%
DROP,345.2,743,56.7%
TRANSITION,346.2,745,64.6%
DROP,350.4,754,67.1%
TRANSITION,350.4,755,91.9%
BREAKDOWN,351.9,758,80.8%
DROP,355.5,766,88.1%
BREAKDOWN,360.6,776,58.9%
DROP,364.4,785,55.2%
DROP,371.9,801,61.0%
BREAKDOWN,372.1,801,54.6%
TRANSITION,376.0,810,58.1%
DROP,377.3,813,56.7%
BREAKDOWN,380.4,819,59.1%
TRANSITION,381.2,821,51.4%
DROP,383.0,825,91.0%
TRANSITION,385.9,831,58.3%
DROP,388.2,836,52.1%
BREAKDOWN,390.0,840,56.9%
DROP,393.3,847,61.6%
TRANSITION,396.3,853,51.1%
BREAKDOWN,398.1,857,53.3%
DROP,399.0,859,52.8%
TRANSITION,402.4,866,51.6%
DROP,404.1,870,66.0%
DROP,412.3,888,89.5%
TRANSITION,412.4,888,74.1%
BREAKDOWN,412.4,888,58.3%
TRANSITION,416.6,897,92.8%
DROP,417.5,899,87.9%
BREAKDOWN,420.4,905,90.6%
TRANSITION,420.7,906,54.0%
DROP,422.7,910,89.2%
TRANSITION,424.9,915,52.1%
DROP,428.4,922,55.8%
BREAKDOWN,430.3,926,50.2%
TRANSITION,430.9,928,59.6%
DROP,433.7,934,81.7%
TRANSITION,435.1,937,64.0%
BREAKDOWN,438.5,944,62.8%
DROP,438.9,945,61.8%
TRANSITION,439.4,946,77.4%
TRANSITION,443.6,955,74.6%
DROP,444.5,957,85.7%
BREAKDOWN,446.5,961,75.6%
TRANSITION,447.8,964,60.9%
DROP,449.7,968,50.2%
TRANSITION,451.8,973,50.3%
DROP,454.8,979,55.6%
BREAKDOWN,454.9,980,100.0%
TRANSITION,455.9,982,100.0%
