Type,Time (s),Beat,Confidence
DROP,460.0,990,90.4%
TRANSITION,460.0,991,55.0%
BREAKDOWN,462.9,997,58.3%
TRANSITION,464.2,1000,56.1%
DROP,465.2,1002,64.6%
TRANSITION,468.5,1009,54.5%
DROP,470.3,1013,75.4%
BREAKDOWN,471.1,1014,51.0%
TRANSITION,472.7,1018,62.4%
DROP,475.5,1024,73.1%
TRANSITION,476.9,1027,73.2%
BREAKDOWN,479.3,1032,64.3%
DROP,480.7,1035,72.2%
TRANSITION,481.1,1036,52.5%
DROP,485.8,1046,69.9%
TRANSITION,485.9,1046,74.0%
BREAKDOWN,487.3,1049,100.0%
TRANSITION,490.1,1055,74.9%
DROP,491.0,1057,57.2%
TRANSITION,494.3,1064,96.1%
BREAKDOWN,495.8,1068,79.8%
DROP,496.1,1068,100.0%
TRANSITION,500.9,1079,83.5%
DROP,501.3,1080,76.5%
BREAKDOWN,503.8,1085,100.0%
TRANSITION,505.1,1088,69.6%
DROP,506.5,1091,100.0%
TRANSITION,509.3,1097,83.1%
DROP,511.7,1102,62.6%
BREAKDOWN,512.2,1103,100.0%
TRANSITION,513.6,1106,65.2%
DROP,516.8,1113,73.1%
TRANSITION,517.8,1115,95.8%
BREAKDOWN,520.2,1120,100.0%
DROP,522.0,1124,59.6%
TRANSITION,522.0,1124,74.0%
TRANSITION,526.2,1133,96.7%
DROP,527.1,1135,80.8%
BREAKDOWN,528.5,1138,60.2%
TRANSITION,530.5,1142,75.1%
DROP,532.3,1146,68.1%
TRANSITION,534.7,1151,89.6%
BREAKDOWN,536.6,1156,53.5%
DROP,537.9,1158,57.8%
DROP,544.5,1172,62.9%
BREAKDOWN,545.4,1174,56.4%
DROP,551.1,1187,63.7%
BREAKDOWN,553.5,1192,51.5%
BREAKDOWN,562.0,1210,54.3%
BREAKDOWN,570.4,1228,54.7%
BREAKDOWN,578.6,1246,60.5%
BREAKDOWN,587.1,1264,63.9%
