Type,Time (s),Beat,Confidence
BREAKDOWN,0.6,1,67.9%
BREAKDOWN,10.1,22,62.5%
BREAKDOWN,19.5,42,79.1%
BREAKDOWN,28.0,60,56.3%
DROP,30.3,65,67.5%
TRANSITION,30.8,66,55.8%
TRANSITION,35.0,75,54.6%
DROP,35.5,76,56.2%
BREAKDOWN,36.0,78,98.5%
TRANSITION,39.3,85,84.1%
DROP,40.7,88,64.5%
TRANSITION,43.5,94,70.7%
BREAKDOWN,44.1,95,100.0%
DROP,46.3,100,61.7%
TRANSITION,47.8,103,89.1%
DROP,51.5,111,51.0%
TRANSITION,52.0,112,69.6%
BREAKDOWN,52.1,112,100.0%
TRANSITION,56.3,121,85.2%
DROP,57.2,123,57.0%
BREAKDOWN,60.1,130,100.0%
TRANSITION,60.5,130,53.4%
DROP,62.4,134,61.1%
TRANSITION,64.8,140,60.1%
DROP,68.1,147,62.9%
BREAKDOWN,68.2,147,100.0%
TRANSITION,69.5,150,83.1%
DROP,73.3,158,57.3%
TRANSITION,73.8,159,71.0%
BREAKDOWN,76.2,164,100.0%
TRANSITION,78.0,168,89.7%
DROP,78.9,170,58.0%
TRANSITION,82.3,177,57.0%
DROP,84.1,181,55.3%
BREAKDOWN,84.2,181,100.0%
TRANSITION,86.5,186,76.2%
DROP,89.8,193,67.3%
TRANSITION,91.3,196,81.6%
BREAKDOWN,92.3,199,50.9%
DROP,95.5,206,60.4%
TRANSITION,95.5,206,71.6%
TRANSITION,99.8,215,89.3%
BREAKDOWN,100.3,216,74.6%
DROP,100.7,217,51.1%
DROP,105.9,228,76.6%
TRANSITION,105.9,228,89.7%
BREAKDOWN,108.3,233,78.3%
TRANSITION,110.2,237,78.2%
DROP,111.5,240,62.0%
TRANSITION,114.4,246,75.5%
BREAKDOWN,116.4,251,88.4%
DROP,117.2,252,73.2%
TRANSITION,118.7,256,87.0%
DROP,122.4,264,58.2%
TRANSITION,122.9,265,70.4%
BREAKDOWN,124.4,268,96.6%
TRANSITION,127.2,274,83.1%
DROP,128.5,277,55.4%
TRANSITION,131.4,283,50.8%
BREAKDOWN,132.4,285,100.0%
DROP,133.7,288,51.7%
TRANSITION,135.7,292,60.5%
DROP,138.9,299,100.0%
TRANSITION,139.9,301,100.0%
BREAKDOWN,140.5,302,100.0%
DROP,144.1,310,66.0%
TRANSITION,144.2,310,92.3%
TRANSITION,148.4,320,100.0%
BREAKDOWN,148.5,320,100.0%
DROP,149.4,322,76.3%
TRANSITION,152.7,329,96.5%
DROP,154.6,333,72.1%
BREAKDOWN,156.5,337,100.0%
TRANSITION,156.9,338,100.0%
DROP,159.7,344,81.8%
TRANSITION,161.2,347,89.3%
BREAKDOWN,164.6,354,71.5%
DROP,165.4,356,51.7%
TRANSITION,165.9,357,57.0%
TRANSITION,170.2,366,100.0%
DROP,170.5,367,68.2%
BREAKDOWN,172.6,372,100.0%
TRANSITION,174.4,376,88.0%
DROP,175.8,379,100.0%
TRANSITION,178.7,385,100.0%
BREAKDOWN,180.6,389,64.4%
DROP,181.0,390,65.7%
TRANSITION,182.9,394,93.9%
DROP,186.2,401,74.2%
TRANSITION,187.2,403,87.0%
BREAKDOWN,188.6,406,65.3%
DROP,191.3,412,52.1%
TRANSITION,191.4,412,81.0%
TRANSITION,195.7,421,100.0%
DROP,196.3,423,54.5%
BREAKDOWN,196.7,424,78.6%
TRANSITION,199.9,430,57.8%
TRANSITION,204.2,440,53.5%
BREAKDOWN,204.7,441,100.0%
TRANSITION,208.4,449,73.4%
TRANSITION,212.7,458,55.9%
BREAKDOWN,212.7,458,100.0%
TRANSITION,216.9,467,80.2%
