Type,Time (s),Beat,Confidence
BREAKDOWN,239.6,491,96.0%
TRANSITION,240.5,493,100.0%
DROP,242.9,498,57.6%
TRANSITION,244.6,502,59.8%
BREAKDOWN,247.7,508,53.3%
DROP,248.6,510,57.0%
TRANSITION,248.6,510,52.1%
TRANSITION,253.0,519,71.9%
DROP,254.4,522,59.3%
BREAKDOWN,255.9,525,100.0%
TRANSITION,257.0,527,52.1%
DROP,260.1,533,56.2%
TRANSITION,261.1,535,98.5%
BREAKDOWN,264.0,541,75.2%
TRANSITION,265.4,544,50.8%
DROP,265.9,545,57.9%
TRANSITION,269.5,553,57.9%
DROP,271.7,557,53.1%
BREAKDOWN,272.2,558,100.0%
TRANSITION,276.5,567,79.4%
DROP,277.4,569,53.0%
BREAKDOWN,280.4,575,81.8%
TRANSITION,280.8,576,64.5%
DROP,284.1,583,70.5%
TRANSITION,284.9,584,67.0%
BREAKDOWN,288.5,592,100.0%
TRANSITION,288.9,593,100.0%
DROP,289.9,594,52.7%
TRANSITION,293.3,601,64.7%
DROP,295.7,606,78.6%
BREAKDOWN,296.7,608,100.0%
TRANSITION,297.6,610,89.1%
DROP,301.4,618,90.8%
TRANSITION,301.9,619,100.0%
BREAKDOWN,304.8,625,54.0%
TRANSITION,306.0,628,54.5%
DROP,307.7,631,51.5%
TRANSITION,310.1,636,50.6%
DROP,312.9,642,100.0%
BREAKDOWN,313.0,642,100.0%
TRANSITION,314.4,645,75.4%
TRANSITION,318.5,653,52.9%
DROP,318.7,654,87.9%
BREAKDOWN,321.2,659,77.8%
TRANSITION,322.5,661,100.0%
DROP,324.5,665,98.2%
TRANSITION,326.8,670,52.8%
BREAKDOWN,329.3,675,100.0%
DROP,330.2,677,60.3%
TRANSITION,331.0,679,63.3%
TRANSITION,335.0,687,55.7%
DROP,336.0,689,51.9%
BREAKDOWN,337.5,692,90.2%
DROP,342.2,702,59.7%
BREAKDOWN,346.1,710,53.5%
DROP,348.0,714,55.4%
BREAKDOWN,354.8,728,63.7%
BREAKDOWN,363.4,745,52.2%
DROP,367.2,753,50.7%
BREAKDOWN,374.2,767,61.7%
BREAKDOWN,387.7,795,64.5%
BREAKDOWN,398.9,818,69.1%
DROP,399.3,819,98.7%
TRANSITION,399.3,819,76.6%
TRANSITION,403.7,828,64.6%
DROP,405.1,831,95.2%
BREAKDOWN,407.1,835,68.9%
TRANSITION,407.8,836,51.0%
DROP,410.9,843,78.9%
TRANSITION,411.8,845,52.2%
BREAKDOWN,415.2,852,100.0%
TRANSITION,416.2,853,60.7%
DROP,416.6,854,91.2%
TRANSITION,420.5,862,88.9%
DROP,422.4,866,50.0%
BREAKDOWN,423.4,868,73.8%
TRANSITION,424.8,871,100.0%
DROP,427.9,877,62.2%
TRANSITION,430.1,882,83.6%
BREAKDOWN,431.6,885,100.0%
DROP,432.9,888,57.2%
TRANSITION,434.4,891,63.3%
TRANSITION,438.5,899,67.0%
DROP,438.7,900,57.8%
BREAKDOWN,439.7,902,76.9%
TRANSITION,442.5,908,99.8%
DROP,444.5,911,55.3%
TRANSITION,446.9,916,61.7%
BREAKDOWN,447.9,919,100.0%
DROP,450.2,923,55.9%
TRANSITION,451.2,925,87.6%
TRANSITION,455.5,934,100.0%
DROP,456.0,935,54.1%
BREAKDOWN,456.0,935,100.0%
TRANSITION,459.6,943,54.7%
DROP,461.8,947,56.9%
TRANSITION,463.7,951,100.0%
BREAKDOWN,464.2,952,100.0%
TRANSITION,468.0,960,73.3%
DROP,468.5,961,71.4%
TRANSITION,472.1,968,50.7%
BREAKDOWN,472.4,969,100.0%
DROP,474.2,972,53.4%
TRANSITION,476.1,976,80.7%
DROP,480.0,984,78.4%
TRANSITION,480.5,985,97.8%
BREAKDOWN,480.5,985,68.4%
TRANSITION,484.6,994,71.4%
DROP,485.7,996,85.4%
TRANSITION,488.6,1002,53.8%
BREAKDOWN,488.7,1002,100.0%
DROP,491.5,1008,53.6%
TRANSITION,493.0,1011,52.9%
BREAKDOWN,496.8,1019,70.6%
TRANSITION,497.0,1019,51.4%
DROP,497.3,1020,100.0%
TRANSITION,501.1,1028,100.0%
DROP,503.0,1032,88.7%
BREAKDOWN,505.0,1036,100.0%
TRANSITION,505.4,1036,53.4%
DROP,508.8,1043,99.9%
TRANSITION,509.5,1045,70.6%
BREAKDOWN,513.2,1052,100.0%
TRANSITION,513.6,1053,58.1%
DROP,513.9,1054,50.4%
TRANSITION,517.9,1062,57.4%
DROP,519.3,1065,75.5%
BREAKDOWN,521.3,1069,100.0%
TRANSITION,522.0,1070,50.7%
DROP,525.1,1077,75.7%
TRANSITION,526.1,1079,100.0%
BREAKDOWN,529.5,1086,100.0%
TRANSITION,530.3,1087,53.0%
DROP,530.9,1089,72.8%
TRANSITION,534.5,1096,54.5%
DROP,536.6,1100,69.5%
BREAKDOWN,537.6,1103,100.0%
TRANSITION,538.5,1104,60.2%
DROP,542.4,1112,66.9%
TRANSITION,542.9,1113,67.8%
BREAKDOWN,545.8,1119,100.0%
TRANSITION,546.9,1122,52.3%
DROP,548.1,1124,61.3%
TRANSITION,551.0,1130,100.0%
