Type,Time (s),Beat,Confidence
BREAKDOWN,0.0,0,100.0%
DROP,0.2,0,81.5%
DROP,5.5,11,55.0%
BREAKDOWN,8.2,17,79.1%
DROP,10.8,22,86.4%
DROP,16.0,33,72.4%
BREAKDOWN,16.3,33,51.2%
DROP,21.3,44,66.3%
BREAKDOWN,24.3,50,93.6%
DROP,26.6,55,90.0%
TRANSITION,29.8,61,64.2%
DROP,31.6,65,96.5%
BREAKDOWN,32.5,67,55.4%
TRANSITION,34.1,70,87.7%
DROP,36.9,76,84.2%
TRANSITION,38.4,79,100.0%
BREAKDOWN,40.6,83,80.9%
DROP,42.2,87,99.9%
TRANSITION,42.7,88,95.8%
TRANSITION,47.0,96,90.3%
DROP,47.5,97,70.6%
BREAKDOWN,48.8,100,78.4%
TRANSITION,51.3,105,75.4%
DROP,52.8,108,88.5%
TRANSITION,55.7,114,83.2%
BREAKDOWN,57.2,117,100.0%
DROP,58.0,119,74.0%
TRANSITION,60.0,123,73.0%
DROP,63.3,130,96.0%
TRANSITION,64.1,131,53.5%
BREAKDOWN,65.3,134,83.1%
TRANSITION,68.2,140,100.0%
DROP,69.1,142,80.5%
TRANSITION,72.5,149,78.4%
BREAKDOWN,73.5,151,100.0%
DROP,74.8,153,55.9%
TRANSITION,76.8,157,93.8%
DROP,80.6,165,86.9%
TRANSITION,81.1,166,56.0%
BREAKDOWN,81.6,167,100.0%
TRANSITION,85.2,175,63.0%
DROP,86.4,177,100.0%
TRANSITION,89.3,183,58.2%
BREAKDOWN,89.8,184,58.3%
DROP,92.1,189,73.4%
TRANSITION,93.6,192,68.3%
TRANSITION,97.7,200,55.4%
DROP,97.9,201,100.0%
BREAKDOWN,98.0,201,100.0%
TRANSITION,101.7,209,100.0%
DROP,103.7,213,86.9%
TRANSITION,106.0,217,52.9%
BREAKDOWN,106.1,218,88.1%
DROP,109.2,224,63.4%
BREAKDOWN,114.3,234,83.4%
DROP,114.9,236,52.8%
DROP,120.2,246,52.3%
TRANSITION,122.9,252,78.3%
BREAKDOWN,122.9,252,100.0%
DROP,125.7,258,66.7%
TRANSITION,127.2,261,66.1%
BREAKDOWN,131.1,269,82.6%
TRANSITION,131.3,269,51.1%
DROP,131.5,270,64.8%
TRANSITION,135.3,278,53.0%
DROP,137.3,281,63.6%
BREAKDOWN,139.3,286,100.0%
TRANSITION,139.7,286,61.0%
DROP,143.0,293,59.6%
TRANSITION,144.0,295,93.8%
BREAKDOWN,147.4,302,97.4%
TRANSITION,148.3,304,100.0%
DROP,148.8,305,54.6%
TRANSITION,152.4,313,60.3%
DROP,154.1,316,50.5%
BREAKDOWN,155.6,319,53.1%
TRANSITION,156.5,321,100.0%
DROP,159.3,327,97.7%
TRANSITION,160.8,330,77.3%
BREAKDOWN,163.7,336,100.0%
DROP,165.1,339,83.9%
TRANSITION,165.1,339,53.0%
TRANSITION,169.2,347,57.9%
DROP,170.9,350,95.4%
BREAKDOWN,171.9,352,73.5%
TRANSITION,173.3,355,52.8%
DROP,176.6,362,53.9%
TRANSITION,177.4,364,59.1%
BREAKDOWN,180.0,369,100.0%
TRANSITION,181.4,372,56.7%
DROP,182.4,374,74.2%
DROP,187.9,385,71.2%
BREAKDOWN,188.2,386,100.0%
DROP,192.9,396,54.1%
BREAKDOWN,196.4,403,78.5%
DROP,198.7,407,54.6%
BREAKDOWN,205.3,421,95.4%
DROP,207.1,425,51.3%
DROP,214.8,440,50.6%
TRANSITION,215.0,441,75.2%
BREAKDOWN,215.1,441,100.0%
TRANSITION,219.3,450,64.9%
DROP,219.8,451,61.0%
BREAKDOWN,223.2,458,78.1%
TRANSITION,223.5,458,53.0%
DROP,225.6,463,56.2%
TRANSITION,227.5,467,52.7%
DROP,231.3,474,53.8%
BREAKDOWN,231.4,475,100.0%
TRANSITION,231.9,475,59.4%
TRANSITION,236.1,484,87.6%
DROP,237.1,486,56.6%
