Type,Time (s),Beat,Confidence
DROP,1.8,4,74.5%
BREAKDOWN,1.9,4,92.8%
TRANSITION,2.3,5,64.0%
TRANSITION,6.6,14,61.6%
DROP,7.0,15,66.3%
BREAKDOWN,10.0,21,100.0%
TRANSITION,10.8,23,69.7%
DROP,12.7,27,57.2%
TRANSITION,15.1,32,60.6%
BREAKDOWN,18.0,39,100.0%
DROP,18.9,41,51.6%
TRANSITION,19.3,42,60.8%
TRANSITION,23.6,51,51.2%
DROP,24.1,52,51.7%
BREAKDOWN,26.0,56,100.0%
TRANSITION,28.3,61,60.2%
DROP,29.7,64,62.7%
TRANSITION,32.6,70,100.0%
BREAKDOWN,34.1,73,100.0%
DROP,34.9,75,85.0%
TRANSITION,36.8,79,100.0%
DROP,40.1,86,83.9%
TRANSITION,41.1,88,100.0%
BREAKDOWN,42.1,91,100.0%
DROP,45.3,98,70.0%
TRANSITION,45.3,98,89.6%
TRANSITION,49.6,107,75.2%
BREAKDOWN,50.1,108,100.0%
DROP,50.5,109,98.0%
TRANSITION,53.8,116,100.0%
DROP,55.7,120,82.8%
TRANSITION,58.1,125,100.0%
BREAKDOWN,58.2,125,100.0%
DROP,61.4,132,66.8%
TRANSITION,62.3,134,100.0%
BREAKDOWN,66.2,142,76.5%
DROP,66.6,143,50.3%
TRANSITION,66.6,143,100.0%
TRANSITION,70.6,152,85.4%
DROP,71.8,155,61.4%
BREAKDOWN,74.2,160,100.0%
TRANSITION,74.6,161,100.0%
DROP,77.0,166,57.9%
TRANSITION,78.9,170,100.0%
DROP,82.2,177,50.3%
BREAKDOWN,82.2,177,100.0%
TRANSITION,82.9,178,98.1%
TRANSITION,86.9,187,100.0%
DROP,88.3,190,57.4%
TRANSITION,91.1,196,55.4%
BREAKDOWN,91.2,196,51.0%
DROP,93.5,201,57.1%
TRANSITION,95.2,205,97.8%
TRANSITION,99.2,214,99.3%
BREAKDOWN,99.3,214,100.0%
DROP,99.7,215,55.0%
TRANSITION,103.4,223,100.0%
DROP,104.9,226,50.8%
BREAKDOWN,107.3,231,100.0%
TRANSITION,107.5,231,76.2%
DROP,110.0,237,85.4%
TRANSITION,111.5,240,100.0%
BREAKDOWN,115.3,248,57.2%
TRANSITION,115.7,249,59.0%
DROP,122.8,264,100.0%
TRANSITION,122.8,264,100.0%
BREAKDOWN,123.3,266,100.0%
TRANSITION,127.1,274,92.8%
DROP,128.5,277,59.8%
TRANSITION,131.1,282,53.2%
BREAKDOWN,131.4,283,100.0%
DROP,133.7,288,56.2%
TRANSITION,135.1,291,95.0%
DROP,138.9,299,53.9%
TRANSITION,139.1,300,50.5%
BREAKDOWN,139.4,300,100.0%
TRANSITION,143.2,308,100.0%
DROP,145.0,312,56.0%
TRANSITION,147.2,317,86.9%
BREAKDOWN,147.4,318,100.0%
DROP,150.2,323,54.1%
TRANSITION,151.6,326,54.6%
BREAKDOWN,155.5,335,100.0%
TRANSITION,155.7,335,81.7%
DROP,155.9,336,51.8%
TRANSITION,159.7,344,100.0%
DROP,161.5,348,59.1%
BREAKDOWN,163.5,352,100.0%
TRANSITION,163.9,353,100.0%
DROP,167.7,361,52.4%
TRANSITION,167.9,362,84.8%
BREAKDOWN,171.5,369,100.0%
TRANSITION,172.0,370,100.0%
DROP,172.9,372,52.4%
TRANSITION,176.2,379,89.6%
DROP,179.0,386,59.0%
BREAKDOWN,179.6,387,100.0%
TRANSITION,180.2,388,50.3%
DROP,184.2,397,62.6%
TRANSITION,184.2,397,100.0%
BREAKDOWN,187.6,404,57.5%
TRANSITION,188.5,406,100.0%
DROP,189.4,408,68.3%
TRANSITION,192.7,415,78.3%
DROP,194.6,419,89.9%
